ph1_gene_id	orthogroup_id	has_scer_essential_ortholog	has_spom_essential_ortholog	has_any_yeast_essential	scer_essential_gene_ids	spom_essential_gene_ids	fg_occupancy_18	fg_presence_count_18	fg_mean_copy_18	fg_median_copy_18	fg_max_copy_18	fg_single_copy_fraction_18	is_strict_core_18	is_exact_single_copy_core_18	yeast_essential_support_class	weak_positive_confidence	source_protein_id	source_header	sequence_length	sequence_sha256	header_fgsg_id	legacy_protein_accession	legacy_seq_match_count	fgsg_candidate_count	unified_candidate_count	resolved_canonical_gene_id	bridge_status	bridge_method	mapping_confidence	has_resolved_canonical	canonical_gene_id	candidate_rank_within_gene	selection_rule	construction_role
XP_011315946.1	OG0002734	0	1	1		SPAC4D7.04c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011315946.1	XP_011315946.1 hypothetical protein FGSG_00298 [Fusarium graminearum PH-1]	363	6db5ccb2cc51542670accbbde90429be193c1207c96f9cd980fa71d8bda70d7f	FGSG_00298	I1R9Y2	1	1	1	fgraminearum::FGRAMPH1_01G00797	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G00797	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315953.1	OG0002737	1	1	1	YOR232W	SPBC3B9.19.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011315953.1	XP_011315953.1 hypothetical protein FGSG_00305 [Fusarium graminearum PH-1]	244	a0ed21dd0685e5ac4f3c88a826f98f0f99a04ad5a8b610a70b40ed090fa5ad56	FGSG_00305	I1R9Y8	1	1	1	fgraminearum::FGRAMPH1_01G00813	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G00813	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315954.1	OG0002738	1	1	1	YDL097C	SPAC23G3.11.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011315954.1	XP_011315954.1 26S proteasome non-ATPase regulatory subunit 11 [Fusarium graminearum PH-1]	423	ced9bada0a0308d8b8b60cff1be7a1ba8eaff4663e68ad00c20a8932f44122de		I1R9Y9	1	0	1	fgraminearum::FGRAMPH1_01G00815	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G00815	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315972.1	OG0002740	1	1	1	YHR068W	SPBC1271.04c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011315972.1	XP_011315972.1 deoxyhypusine synthase [Fusarium graminearum PH-1]	358	d27a46babd792df89736da3c67c72dd49535e140c13aaf26e43bac8d48a9e943		I1RA06	1	0	1	fgraminearum::FGRAMPH1_01G00853	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G00853	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315976.1	OG0002741	1	1	1	YOR217W	SPBC23E6.07c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011315976.1	XP_011315976.1 replication factor C subunit 1 [Fusarium graminearum PH-1]	1049	c064fce10b43fa0371f5aaa305080a590ee9528494ae5e2a7a24b09bf703171a		I1RA10	1	0	1	fgraminearum::FGRAMPH1_01G00861	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G00861	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315977.1	OG0002742	0	1	1		SPBC1105.03c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011315977.1	XP_011315977.1 60S ribosomal protein L16 [Fusarium graminearum PH-1]	252	c036d921838b0fb1c0e4b135edbe5bd6b6f7a205b2442885f5889b42c4ce5be9		I1RA11	1	0	1	fgraminearum::FGRAMPH1_01G00863	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G00863	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315978.1	OG0002743	1	1	1	YBR087W	SPBC83.14c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011315978.1	XP_011315978.1 replication factor C subunit 5 [Fusarium graminearum PH-1]	354	da0a00aa1327e05824822f661009bea6e8329e60a3d313c8f552ea68079bab86		I1RA12	1	0	1	fgraminearum::FGRAMPH1_01G00865	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G00865	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315985.1	OG0002744	1	0	1	YPL190C		1.0000	18	1.0000	1.0	1	1.0000	1	1	scer_only	high	XP_011315985.1	XP_011315985.1 hypothetical protein FGSG_00335 [Fusarium graminearum PH-1]	856	9d3e10bb1ea17032897ba9ad22dc0e5c1bd579d1cb3ff6883e9ad6676af1d634	FGSG_00335	I1RA18	1	1	1	fgraminearum::FGRAMPH1_01G00879	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G00879	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011315988.1	OG0002746	1	1	1	YKL004W	SPAC3H8.06.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011315988.1	XP_011315988.1 hypothetical protein FGSG_00338 [Fusarium graminearum PH-1]	453	c7cb4759d3452bc797863ad37c490a630162d5c6cbe75fd7df5c24638485db70	FGSG_00338	I1RA21	1	1	1	fgraminearum::FGRAMPH1_01G00885	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G00885	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316006.1	OG0002748	1	1	1	YMR061W	SPAC6F12.17.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011316006.1	XP_011316006.1 mRNA 3'-end processing protein RNA14 [Fusarium graminearum PH-1]	997	06ad7e693d937953867eea43de6c4ccc2fac34526f26cb5cab787e172afa66f3		Q4IR09	1	0	1	fgraminearum::FGRAMPH1_01G00925	resolved	ncbi_protein_id_via_unified_map		True	fgraminearum::FGRAMPH1_01G00925	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316007.1	OG0002749	0	1	1		SPCC663.05c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011316007.1	XP_011316007.1 hypothetical protein FGSG_00350 [Fusarium graminearum PH-1]	279	4a2fbc62a3d4d796495a1103552bfd18aa2694e5bedd0c2193bc2660dd51d86e	FGSG_00350	Q4IR08	1	1	1	fgraminearum::FGRAMPH1_01G00927	resolved	unified_plus_fgsg_support		True	fgraminearum::FGRAMPH1_01G00927	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316009.1	OG0002750	0	1	1		SPBC725.11c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011316009.1	XP_011316009.1 hypothetical protein FGSG_00352 [Fusarium graminearum PH-1]	307	6d848c38393e1e08d6889aaa168c276bf3b8db786bb9374320f4c0cde34c9bcf	FGSG_00352	I1RA31	1	1	1	fgraminearum::FGRAMPH1_01G00931	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G00931	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316016.1	OG0002752	1	1	1	YGR074W	SPAC27D7.07c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011316016.1	XP_011316016.1 small nuclear ribonucleoprotein Sm D1 [Fusarium graminearum PH-1]	126	eb9a4a4e39474cf9d15f6537bddb8912957bb894d32e4822a62646bc75cda84e		I1RA36	1	0	1	fgraminearum::FGRAMPH1_01G00945	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G00945	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316022.1	OG0002755	1	1	1	YGR099W	SPAC458.03.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011316022.1	XP_011316022.1 hypothetical protein FGSG_00363 [Fusarium graminearum PH-1]	991	0aaa90d2eda4cfe0143ea4481acc7660e1fb1ee639b1cbce18ed3be7cbb794c5	FGSG_00363	I1RA40	1	1	1	fgraminearum::FGRAMPH1_01G00959	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G00959	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316023.1	OG0002756	0	1	1		SPAC24H6.12c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011316023.1	XP_011316023.1 NEDD8-activating enzyme E1 catalytic subunit [Fusarium graminearum PH-1]	433	0b1aae2cd84d218d6b9d8e1e13c03c60d29b06286aa783b86530b3816d535745			0	0	1	fgraminearum::FGRAMPH1_01G00961	resolved	ncbi_protein_id_via_unified_map		True	fgraminearum::FGRAMPH1_01G00961	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316024.1	OG0002757	1	1	1	YPR110C	SPBC1289.07c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011316024.1	XP_011316024.1 DNA-directed RNA polymerases I and III 40 kDa polypeptide [Fusarium graminearum PH-1]	381	a50e83a63f1cae0422d0036665c110989c86f9d24d0da1c8eb6d2ccdf894cbf8		V6QUE6	1	0	1	fgraminearum::FGRAMPH1_01G00963	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G00963	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316026.1	OG0004023	0	1	1		SPAC23D3.06c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011316026.1	XP_011316026.1 hypothetical protein FGSG_00366 [Fusarium graminearum PH-1]	1448	79b1e6fc69e67f2d3fd8b41a2bd6d5e32e7c2246cb6aaaa19e928a1bffc6b259	FGSG_00366		0	1	1	fgraminearum::FGRAMPH1_01G00967	resolved	unified_plus_fgsg_support		True	fgraminearum::FGRAMPH1_01G00967	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316027.1	OG0002758	1	1	1	YOR157C	SPAC23D3.07.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011316027.1	XP_011316027.1 proteasome component PUP1 precursor [Fusarium graminearum PH-1]	270	72938fc6a008768214f93e078c799b74a733bed8bca236e66dfb7cd78ebf6d44		I1RA43	1	0	1	fgraminearum::FGRAMPH1_01G00969	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G00969	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316032.1	OG0001342	1	1	1	YGL044C	SPAC644.16.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011316032.1	XP_011316032.1 hypothetical protein FGSG_00370 [Fusarium graminearum PH-1]	294	f4ba7463fa11685f284e676e0058a13e18d32b157d00fd028eb89d6165e07444	FGSG_00370	I1RA46	1	1	1	fgraminearum::FGRAMPH1_01G00979	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G00979	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316034.1	OG0002761	1	1	1	YPR144C	SPBC1604.06c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011316034.1	XP_011316034.1 hypothetical protein FGSG_00372 [Fusarium graminearum PH-1]	545	90228a140a910dda74462935c6bcecd4731776eac008603d032446321bc7c8f2	FGSG_00372	I1RA48	1	1	1	fgraminearum::FGRAMPH1_01G00983	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G00983	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316037.1	OG0002763	0	1	1		SPBC146.12.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011316037.1	XP_011316037.1 hypothetical protein FGSG_00375 [Fusarium graminearum PH-1]	487	c67b3b12ac8f6e117cad7e837e98500f72f0d1ff6579893b17c0b15ab3be9af1	FGSG_00375	I1RA51	1	1	1	fgraminearum::FGRAMPH1_01G00989	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G00989	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316049.1	OG0001344	0	1	1		SPBC32F12.10.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011316049.1	XP_011316049.1 phosphoglucomutase [Fusarium graminearum PH-1]	553	ccc945d31a848ba131ec81d1573596fb9f9a0c3fa15435b0a68825a7b2df3bf2		I1RA62	1	0	1	fgraminearum::FGRAMPH1_01G01013	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G01013	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316057.1	OG0001345	1	0	1	YOL040C		1.0000	18	1.0000	1.0	1	1.0000	1	1	scer_only	high	XP_011316057.1	XP_011316057.1 40S ribosomal protein S15 [Fusarium graminearum PH-1]	152	ea2a9446578bd493ae93ebcb92fd2b3b51133fd10e7f4bcf648c4ec7a9a4f05b		I1RA70	1	0	1	fgraminearum::FGRAMPH1_01G01033	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G01033	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316062.1	OG0001350	1	1	1	YAL043C	SPAC1071.01c.1:pep	1.0000	18	1.0556	1.0	2	0.9444	1	0	both	high	XP_011316062.1	XP_011316062.1 hypothetical protein FGSG_11760 [Fusarium graminearum PH-1]	584	bc6e64d93d2b9a51b6e145d28875e174e182c111227b164ed62b0abf81d3fcfc	FGSG_11760		0	1	1	fgraminearum::FGRAMPH1_01G01045	resolved	unified_plus_fgsg_support		True	fgraminearum::FGRAMPH1_01G01045	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316086.1	OG0004026	1	1	1	YLR243W	SPAC4D7.12c.1:pep	0.9444	17	0.9444	1.0	1	0.9444	0	0	both	high	XP_011316086.1	XP_011316086.1 transcription factor FET5 [Fusarium graminearum PH-1]	299	75cfd189941c9217ce7d264fe36c0e6110e2a216bb3f1e61b2b837028810620b			0	0	1	fgraminearum::FGRAMPH1_01G01091	resolved	ncbi_protein_id_via_unified_map		True	fgraminearum::FGRAMPH1_01G01091	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316087.1	OG0001347	0	1	1		SPBC14F5.05c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011316087.1	XP_011316087.1 S-adenosylmethionine synthetase [Fusarium graminearum PH-1]	402	092f80ddda464758c6b529db152520def499d49611fb6a311107efd8c845d8ed		I1RA94	1	0	1	fgraminearum::FGRAMPH1_01G01095	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G01095	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316097.1	OG0002768	1	1	1	YGL022W	SPBC1271.02.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011316097.1	XP_011316097.1 hypothetical protein FGSG_00430 [Fusarium graminearum PH-1]	741	2f336f7532fa6d9ec336eb8748e9898bdd8f966886c2d65519f96a32e2c7d796	FGSG_00430		0	1	1	fgraminearum::FGRAMPH1_01G01117	resolved	unified_plus_fgsg_support		True	fgraminearum::FGRAMPH1_01G01117	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316117.1	OG0001473	1	1	1	YKR086W	SPBC1711.17.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011316117.1	XP_011316117.1 pre-mRNA-splicing factor ATP-dependent RNA helicase prp16 [Fusarium graminearum PH-1]	968	077d63ab3ba0f848f81dcb561af05fb687c53e0caf5de714355e4f35216e73c2		I1RAC1	1	0	1	fgraminearum::FGRAMPH1_01G01161	resolved	exact_sequence_plus_unified_support		True	fgraminearum::FGRAMPH1_01G01161	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316118.1	OG0002772	1	1	1	YLR196W	SPBC1711.16.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011316118.1	XP_011316118.1 hypothetical protein FGSG_00449 [Fusarium graminearum PH-1]	541	6977baa4c9e20186a3b34100533d48f23079ffcc0d7ca13b8eb353ec9053f695	FGSG_00449	I1RAC2	1	1	1	fgraminearum::FGRAMPH1_01G01163	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G01163	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316127.1	OG0001532	0	1	1		SPAC2F3.17c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011316127.1	XP_011316127.1 hypothetical protein FGSG_00458 [Fusarium graminearum PH-1]	82	1cdafe58c31fc4496456275e9af18cbb353dedbd06fb09afd9ad57737ddc4381	FGSG_00458	I1RAD1	1	1	1	fgraminearum::FGRAMPH1_01G01181	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G01181	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316148.1	OG0002776	1	1	1	YNL240C	SPCC1450.10c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011316148.1	XP_011316148.1 hypothetical protein FGSG_00475 [Fusarium graminearum PH-1]	577	d0faaa13f6db350e37bb230fc76d82901c896facd22f22b33086459601cf82af	FGSG_00475	I1RAE8	1	1	1	fgraminearum::FGRAMPH1_01G01223	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G01223	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316158.1	OG0002377	1	1	1	YJL069C	SPBC29A3.06.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011316158.1	XP_011316158.1 hypothetical protein FGSG_00485 [Fusarium graminearum PH-1]	581	e3bd12895b9ac11aaabaf5120e23a0ea5559d03b77351b24aa99aef0e55a6b78	FGSG_00485	I1RAF8	1	1	1	fgraminearum::FGRAMPH1_01G01245	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G01245	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316159.1	OG0003831	0	1	1		SPBC1861.05.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011316159.1	XP_011316159.1 hypothetical protein FGSG_00486 [Fusarium graminearum PH-1]	780	9b42137ccf3036d7956cc77e8ff5900a81594f9a54bf3d0e38091e7e62db0731	FGSG_00486	I1RAF9	1	1	1	fgraminearum::FGRAMPH1_01G01247	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G01247	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316164.1	OG0001268	0	1	1		SPAC3C7.11c.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	spom_only	high	XP_011316164.1	XP_011316164.1 hypothetical protein FGSG_00491 [Fusarium graminearum PH-1]	562	dc6fe00acfe6291d9d79ac2d593a447b6280e2116cacc38294245eab8d35b50e	FGSG_00491	V6QUV7	1	1	1	fgraminearum::FGRAMPH1_01G01257	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G01257	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
XP_011316173.1	OG0002378	1	1	1	YJL002C	SPAC27F1.07.1:pep	1.0000	18	1.0000	1.0	1	1.0000	1	1	both	high	XP_011316173.1	XP_011316173.1 hypothetical protein FGSG_00499 [Fusarium graminearum PH-1]	493	794a337f7169c44bd3f027110d76e005b52282c6048b641873fac3d16cd64136	FGSG_00499	I1RAH0	1	1	1	fgraminearum::FGRAMPH1_01G01277	resolved	exact_sequence_plus_fgsg_support	exact	True	fgraminearum::FGRAMPH1_01G01277	1	keep_first_by_canonical_gene_after_sorted_xp	high_confidence_yeast_transfer_positive_component
