source_protein_id	source_header	sequence_length	sequence_sha256	header_fgsg_id	legacy_protein_accession	legacy_seq_match_count	fgsg_candidate_count	unified_candidate_count	resolved_canonical_gene_id	bridge_status	bridge_method	mapping_confidence
XP_011315608.1	XP_011315608.1 hypothetical protein FGSG_00023 [Fusarium graminearum PH-1]	263	538762e3b7e0bc9279cd9cbb3273e6cb66fcfa948b3589262f1320f94c3820d0	FGSG_00023	I1R994	1	1	1	fgraminearum::FGRAMPH1_01G00095	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315609.1	XP_011315609.1 hypothetical protein FGSG_00024 [Fusarium graminearum PH-1]	379	980513ad5e35c7ae15f8c0e277cd3145ef348203aa1d3ca7df33c11e5fb24397	FGSG_00024	I1R995	1	1	1	fgraminearum::FGRAMPH1_01G00097	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315610.1	XP_011315610.1 hypothetical protein FGSG_00025 [Fusarium graminearum PH-1]	509	aedf498ced043656232f157db30cb7eb35123185bccda0feb898ec6bea357131	FGSG_00025	I1R996	1	1	1	fgraminearum::FGRAMPH1_01G00099	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315611.1	XP_011315611.1 hypothetical protein FGSG_00026 [Fusarium graminearum PH-1]	405	cdea1bf650826df56033318d013cf4e9c7275ca6cbc992b3680eccb3c8218224	FGSG_00026	I1R997	1	1	1	fgraminearum::FGRAMPH1_01G00101	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315612.1	XP_011315612.1 hypothetical protein FGSG_00027 [Fusarium graminearum PH-1]	505	c19e43190e7025b5916a09654c02db92cd5b57a1540da36e4e37dadf0920656c	FGSG_00027	I1R998	1	1	1	fgraminearum::FGRAMPH1_01G00103	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315613.1	XP_011315613.1 hypothetical protein FGSG_00028 [Fusarium graminearum PH-1]	275	3701b9f793ab5bdc5b0afdfab1f1202da12d32928145350ed2ccb4b2077f074e	FGSG_00028	I1R999	1	1	1	fgraminearum::FGRAMPH1_01G00105	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315614.1	XP_011315614.1 hypothetical protein FGSG_00029 [Fusarium graminearum PH-1]	178	59acdbec10516ca7877d3a06d7225c059f98509f4b4e911cccd309bc4aec93c3	FGSG_00029	I1R9A0	1	1	1	fgraminearum::FGRAMPH1_01G00109	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315615.1	XP_011315615.1 hypothetical protein FGSG_00030 [Fusarium graminearum PH-1]	214	f23dedebb04263a06037753c683bd3d5743051a883f111bdfc2bfb78e9124a90	FGSG_00030		0	1	1	fgraminearum::FGRAMPH1_01G00111	resolved	unified_plus_fgsg_support	
XP_011315616.1	XP_011315616.1 hypothetical protein FGSG_00031 [Fusarium graminearum PH-1]	1365	32a728fef401e1af13d9081041969ae27383647be3bdfc9d32b7ed711f186e61	FGSG_00031		0	1	1	fgraminearum::FGRAMPH1_01G00115	resolved	unified_plus_fgsg_support	
XP_011315617.1	XP_011315617.1 hypothetical protein FGSG_00032 [Fusarium graminearum PH-1]	278	687caa5023ba7ebb4faff39adaff44669b984fb692bbd97b3f387d12f8c588e6	FGSG_00032	I1R9A3	1	1	1	fgraminearum::FGRAMPH1_01G00117	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315618.1	XP_011315618.1 hypothetical protein FGSG_00033 [Fusarium graminearum PH-1]	227	6e95804c9d58308dbd0343a2fa6fa03ded42af7207a9e948986896ce8344f538	FGSG_00033		0	1	1	fgraminearum::FGRAMPH1_01G00119	resolved	unified_plus_fgsg_support	
XP_011315619.1	XP_011315619.1 hypothetical protein FGSG_00034 [Fusarium graminearum PH-1]	526	f4715239790b8b2f8118b386667c28a274b6e02a4d73f7b53deade667e631e17	FGSG_00034	I1R9A5	1	1	1	fgraminearum::FGRAMPH1_01G00121	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315620.1	XP_011315620.1 hypothetical protein FGSG_11653 [Fusarium graminearum PH-1]	474	8231d1d6af1484bac0e2f248ca66b8520b4fefcc3f79567467ae12fe6ca280f9	FGSG_11653		0	1	1	fgraminearum::FGRAMPH1_01G00123	resolved	unified_plus_fgsg_support	
XP_011315621.1	XP_011315621.1 hypothetical protein FGSG_11654 [Fusarium graminearum PH-1]	737	e7e7ff4282b315b1d57823711b9a1b144a0d9bd1fab49ac2c047eace8a35bad7	FGSG_11654	I1S487	1	1	1	fgraminearum::FGRAMPH1_01G00125	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315622.1	XP_011315622.1 hypothetical protein FGSG_00036 [Fusarium graminearum PH-1]	1598	cfeb56c6c6d67ab7478102a1780174a63940f6ccf246aeae128063ed341a0f84	FGSG_00036	I1R9A6	1	1	1	fgraminearum::FGRAMPH1_01G00127	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315623.1	XP_011315623.1 hypothetical protein FGSG_11655 [Fusarium graminearum PH-1]	408	a28bed05e8569e9a9b2aaf655797b3e60937e83cd49bc85b18a695d6653c4371	FGSG_11655		0	1	1	fgraminearum::FGRAMPH1_01G00129	resolved	unified_plus_fgsg_support	
XP_011315624.1	XP_011315624.1 hypothetical protein FGSG_11656 [Fusarium graminearum PH-1]	2060	dbceafea305af13b71f0e526868a9c3171aa5516eecbbd3f6d9e8e9e504ea32e	FGSG_11656	I1S489	1	1	1	fgraminearum::FGRAMPH1_01G00131	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315625.1	XP_011315625.1 hypothetical protein FGSG_00038 [Fusarium graminearum PH-1]	197	4cde64bf6afe52a46b8417561811bb343cae182837bc31e97ed3003646770105	FGSG_00038		0	1	1	fgraminearum::FGRAMPH1_01G00133	resolved	unified_plus_fgsg_support	
XP_011315626.1	XP_011315626.1 hypothetical protein FGSG_00039 [Fusarium graminearum PH-1]	333	357b5b88cf37cb80e1b8723361de20a632ce1f9b7df1b01d6c7d89311779ab9d	FGSG_00039	I1R9A8	1	1	1	fgraminearum::FGRAMPH1_01G00135	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315627.1	XP_011315627.1 hypothetical protein FGSG_00040 [Fusarium graminearum PH-1]	726	889281f30e6f95b5c7868b5fa80ed3c81e4cc928e6fd43812de1cc2d2888598d	FGSG_00040	I1R9A9	1	1	1	fgraminearum::FGRAMPH1_01G00137	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315628.1	XP_011315628.1 hypothetical protein FGSG_11657 [Fusarium graminearum PH-1]	740	2e832229a7746e76b9244a14244d8f032f1da1ccac7c007799af600d75d3a2ce	FGSG_11657	I1S490	1	1	1	fgraminearum::FGRAMPH1_01G00139	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315629.1	XP_011315629.1 hypothetical protein FGSG_11658 [Fusarium graminearum PH-1]	338	07be83ac5dc48852e543480e9f04135fbae716d3300d3b0297c7a4aa62779716	FGSG_11658	I1S491	1	1	1	fgraminearum::FGRAMPH1_01G00141	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315630.1	XP_011315630.1 hypothetical protein FGSG_11659 [Fusarium graminearum PH-1]	4468	84b1d0316e478fd3fe2b726665126959ff31b402b8f1076081b6782347cafa7a	FGSG_11659		0	1	1	fgraminearum::FGRAMPH1_01G00143	resolved	unified_plus_fgsg_support	
XP_011315631.1	XP_011315631.1 hypothetical protein FGSG_11660 [Fusarium graminearum PH-1]	905	5600f7320cc6227e4e341904e748836f660e64ce562768fcc4b09e1e469ece7c	FGSG_11660		0	1	1	fgraminearum::FGRAMPH1_01G00143	resolved	unified_plus_fgsg_support	
XP_011315632.1	XP_011315632.1 hypothetical protein FGSG_00043 [Fusarium graminearum PH-1]	344	d6d7aefd87b173ef5ed50aa2204a64747dec61d544f9f4dc0c9c3756a1da8198	FGSG_00043	I1R9B0	1	1	1	fgraminearum::FGRAMPH1_01G00145	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315633.1	XP_011315633.1 hypothetical protein FGSG_00044 [Fusarium graminearum PH-1]	322	e66565c12cb0c5056a292149b04ded7924ea14648d82a717007d327892cdb206	FGSG_00044	I1R9B1	1	1	1	fgraminearum::FGRAMPH1_01G00147	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315634.1	XP_011315634.1 hypothetical protein FGSG_00045 [Fusarium graminearum PH-1]	282	6de80ea2dd4ca47690f20bb3ce081b5a665b1066a6566f2b392b20e23163b23f	FGSG_00045	I1R9B2	1	1	1	fgraminearum::FGRAMPH1_01G00149	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315635.1	XP_011315635.1 hypothetical protein FGSG_00046 [Fusarium graminearum PH-1]	1445	cf72959101e31df5b45df449b6f30946ef277c632e87c788587fcc7902c94159	FGSG_00046	I1R9B3	1	1	1	fgraminearum::FGRAMPH1_01G00151	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315636.1	XP_011315636.1 hypothetical protein FGSG_00047 [Fusarium graminearum PH-1]	401	449268a4c98e8bf18538288a4b89c3969fb9520efa93b5509a81b46bd1152b7f	FGSG_00047	I1R9B4	1	1	1	fgraminearum::FGRAMPH1_01G00153	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315637.1	XP_011315637.1 hypothetical protein FGSG_00048 [Fusarium graminearum PH-1]	381	20ab2729856410fbdc57e988b9fba8fcb8007f517520fcf2f8fbfe575d9e3c6a	FGSG_00048	I1R9B5	1	1	1	fgraminearum::FGRAMPH1_01G00155	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315638.1	XP_011315638.1 hypothetical protein FGSG_00049 [Fusarium graminearum PH-1]	382	a07936f8ff068a36d5fd735f61644126288108fbbee3c58af222f0d9e20a7c6c	FGSG_00049	I1R9B6	1	1	1	fgraminearum::FGRAMPH1_01G00157	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315639.1	XP_011315639.1 hypothetical protein FGSG_11661 [Fusarium graminearum PH-1]	194	292ee0d77fa8562e5db5fe17c466aace67fe3d533ad6f7950d9b6e2dd4395b8c	FGSG_11661	I1S494	1	1	1	fgraminearum::FGRAMPH1_01G00159	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315640.1	XP_011315640.1 hypothetical protein FGSG_00050 [Fusarium graminearum PH-1]	318	824b1bd3d4d44888c4e64a3bd65d12fbd3dd683fd33be1c391cfb0ad7a0bc5dc	FGSG_00050	I1R9B7	1	1	1	fgraminearum::FGRAMPH1_01G00161	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315641.1	XP_011315641.1 hypothetical protein FGSG_00051 [Fusarium graminearum PH-1]	325	1f76b53e1b26839dbd3c5b95319ca0e4e1a475fe3a54c42da1981c30043caa59	FGSG_00051	I1R9B8	1	1	1	fgraminearum::FGRAMPH1_01G00163	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315642.1	XP_011315642.1 hypothetical protein FGSG_00052 [Fusarium graminearum PH-1]	332	f980ea22356e19c6f68188b77ecc31237c99079d6f3707a100872becc45f6a5a	FGSG_00052		0	1	1	fgraminearum::FGRAMPH1_01G00165	resolved	unified_plus_fgsg_support	
XP_011315643.1	XP_011315643.1 aryl-alcohol dehydrogenase [Fusarium graminearum PH-1]	381	80fe8c05fce0e55f9e20b107353b93dc5645e5d4360b8e644dd24a6db42077a7		I1R9C0	1	0	1	fgraminearum::FGRAMPH1_01G00167	resolved	exact_sequence_plus_unified_support	
XP_011315644.1	XP_011315644.1 hypothetical protein FGSG_00054 [Fusarium graminearum PH-1]	309	2f4578e081e1f3060d2ccae778957a4a0cec9b9a693ea10186322100eccde0ee	FGSG_00054	I1R9C1	1	1	1	fgraminearum::FGRAMPH1_01G00169	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315645.1	XP_011315645.1 hypothetical protein FGSG_00055 [Fusarium graminearum PH-1]	3117	6f755333d0743bec571fb2230cd3e64cdf6b323dc3644eccf63b2d40148e922a	FGSG_00055	I1R9C2	1	1	1	fgraminearum::FGRAMPH1_01G00171	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315646.1	XP_011315646.1 hypothetical protein FGSG_00056 [Fusarium graminearum PH-1]	159	a818b691c28eb733f89a493a91ea03b6629d392b999f3cae210597dd02615f17	FGSG_00056	I1R9C3	1	1	1	fgraminearum::FGRAMPH1_01G00173	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315647.1	XP_011315647.1 hypothetical protein FGSG_11662 [Fusarium graminearum PH-1]	516	659ea5bc2af5dafbb42fbd4e3a6b8d826d46bdf73cbb465c03d42c9276d04522	FGSG_11662		0	1	1	fgraminearum::FGRAMPH1_01G00177	resolved	unified_plus_fgsg_support	
XP_011315648.1	XP_011315648.1 hypothetical protein FGSG_11663 [Fusarium graminearum PH-1]	666	19bccaceb6e96547e412bef879c0534bc54cc34442a128eb45d10febaa1bd961	FGSG_11663		0	1	1	fgraminearum::FGRAMPH1_01G00183	resolved	unified_plus_fgsg_support	
XP_011315649.1	XP_011315649.1 hypothetical protein FGSG_11664 [Fusarium graminearum PH-1]	533	635cb8d19ee137a747d7ba4cb296a512c1a8d3dce12ec4482ded422eb1ff4bca	FGSG_11664	I1S497	1	1	1	fgraminearum::FGRAMPH1_01G00185	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315650.1	XP_011315650.1 LOW QUALITY PROTEIN: hypothetical protein FGSG_11665 [Fusarium graminearum PH-1]	611	63aed2048ce70601fe411aa72d1568e57813e4c6fe3bed9abb0cbdafc5e8013e	FGSG_11665		0	1	1	fgraminearum::FGRAMPH1_01G00187	resolved	unified_plus_fgsg_support	
