yeast_support_source	support_type	orthogroup_id	canonical_fusarium_gene_id	bridge_resolved	bridge_method	mapping_confidence	bridge_evidence_path	passes_fusarium_filtering	weak_positive_confidence	occupancy_count	occupancy_fraction	fg_mean_copy_18	fg_median_copy_18	fg_max_copy_18	fg_single_copy_fraction_18	copy_status	single_copy_or_near_single_copy	single_copy_orthofinder_listed	orthogroup_member_count_total	ph1_copy_count_from_membership	in_final_positive_set	in_high_confidence_set	in_final_label_set	is_lethal_supported_positive	final_label_class	final_label_bucket	ph1_gene_ids	scer_essential_gene_ids	spom_essential_gene_ids	source_row_count	yeast_gene	yeast_species
spom_only	spom_only	OG0000014	fgraminearum::FGRAMPH1_01G03271	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.1111	2.0	4	0.2778	strict_core_multicopy	no	no	42	3	no	no	no	no	Excluded		XP_011317110.1		SPBC428.01c.1:pep	1	SPBC428.01c.1:pep	spom
spom_only	spom_only	OG0000014	fgraminearum::FGRAMPH1_01G03273	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.1111	2.0	4	0.2778	strict_core_multicopy	no	no	42	3	no	no	no	no	Excluded		XP_011317111.1		SPBC428.01c.1:pep	1	SPBC428.01c.1:pep	spom
spom_only	spom_only	OG0000017	fgraminearum::FGRAMPH1_01G07951	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.0000	2.0	3	0.2222	strict_core_multicopy	no	no	41	2	no	no	no	no	Excluded		XP_011319347.1		SPAC227.09.1:pep	1	SPAC227.09.1:pep	spom
spom_only	spom_only	OG0000017	fgraminearum::FGRAMPH1_01G07953	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.0000	2.0	3	0.2222	strict_core_multicopy	no	no	41	2	no	no	no	no	Excluded		XP_011319348.1		SPAC227.09.1:pep	1	SPAC227.09.1:pep	spom
spom_only	spom_only	OG0000018	fgraminearum::FGRAMPH1_01G19037	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.0556	2.0	4	0.2222	strict_core_multicopy	no	no	41	2	no	no	no	no	Excluded		XP_011324508.1		SPBC119.17.1:pep	1	SPBC119.17.1:pep	spom
spom_only	spom_only	OG0000018	fgraminearum::FGRAMPH1_01G19043	yes	ncbi_protein_id_via_unified_map		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.0556	2.0	4	0.2222	strict_core_multicopy	no	no	41	2	no	no	no	no	Excluded		XP_011324511.1		SPBC119.17.1:pep	1	SPBC119.17.1:pep	spom
both	both	OG0000025	fgraminearum::FGRAMPH1_01G03515	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.9444	2.0	3	0.2222	strict_core_multicopy	no	no	39	2	no	no	no	no	Excluded		XP_011317233.1	YFR002W	SPCC1620.11.1:pep	1	YFR002W	both
both	both	OG0000025	fgraminearum::FGRAMPH1_01G03517	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.9444	2.0	3	0.2222	strict_core_multicopy	no	no	39	2	no	no	no	no	Excluded		XP_011317234.1	YFR002W	SPCC1620.11.1:pep	1	YFR002W	both
both	both	OG0000026	fgraminearum::FGRAMPH1_01G18241	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.0556	2.0	3	0.3889	strict_core_multicopy	no	no	39	3	no	no	no	no	Excluded		XP_011324127.1	YDR196C	SPCC14G10.01.1:pep	1	YDR196C	both
both	both	OG0000026	fgraminearum::FGRAMPH1_01G18243	yes	ncbi_protein_id_via_unified_map		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.0556	2.0	3	0.3889	strict_core_multicopy	no	no	39	3	no	no	no	no	Excluded		XP_011324128.1	YDR196C	SPCC14G10.01.1:pep	1	YDR196C	both
both	both	OG0000026	fgraminearum::FGRAMPH1_01G18245	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.0556	2.0	3	0.3889	strict_core_multicopy	no	no	39	3	no	no	no	no	Excluded		XP_011324129.1	YDR196C	SPCC14G10.01.1:pep	1	YDR196C	both
spom_only	spom_only	OG0000027	fgraminearum::FGRAMPH1_01G24279	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	17	0.9444	1.9444	2.0	4	0.2778	noncore_or_multicopy	no	no	39	2	no	no	no	no	Excluded		XP_011326956.1		SPBC887.13c.1:pep	1	SPBC887.13c.1:pep	spom
spom_only	spom_only	OG0000027	fgraminearum::FGRAMPH1_01G24281	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	17	0.9444	1.9444	2.0	4	0.2778	noncore_or_multicopy	no	no	39	2	no	no	no	no	Excluded		XP_011326957.1		SPBC887.13c.1:pep	1	SPBC887.13c.1:pep	spom
scer_only	scer_only	OG0000028	fgraminearum::FGRAMPH1_01G04785	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.0000	2.0	3	0.2222	strict_core_multicopy	no	no	39	2	no	no	no	no	Excluded		XP_011317844.1	YKL141W		1	YKL141W	scer
scer_only	scer_only	OG0000028	fgraminearum::FGRAMPH1_01G28127	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	2.0000	2.0	3	0.2222	strict_core_multicopy	no	no	39	2	no	no	no	no	Excluded		XP_011328790.1	YKL141W		1	YKL141W	scer
both	both	OG0000033	fgraminearum::FGRAMPH1_01G26273	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.8889	2.0	3	0.2222	strict_core_multicopy	no	no	38	2	no	no	no	no	Excluded		XP_011327902.1	YIL129C	SPBP19A11.04c.1:pep	1	YIL129C	both
both	both	OG0000033	fgraminearum::FGRAMPH1_01G26275	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.8889	2.0	3	0.2222	strict_core_multicopy	no	no	38	2	no	no	no	no	Excluded		XP_011327903.1	YIL129C	SPBP19A11.04c.1:pep	1	YIL129C	both
spom_only	spom_only	OG0000037	fgraminearum::FGRAMPH1_01G24177	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.8889	2.0	3	0.2222	strict_core_multicopy	no	no	38	2	no	no	no	no	Excluded		XP_011326907.1		SPBP8B7.03c.1:pep	1	SPBP8B7.03c.1:pep	spom
spom_only	spom_only	OG0000037	fgraminearum::FGRAMPH1_01G24179	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.8889	2.0	3	0.2222	strict_core_multicopy	no	no	38	2	no	no	no	no	Excluded		XP_011326908.1		SPBP8B7.03c.1:pep	1	SPBP8B7.03c.1:pep	spom
both	both	OG0000038		no	header_fgsg_not_mapped_to_canonical	unresolved	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	1.0	4	0.6111	strict_core_multicopy	no	no	38	3	no	no	no	no	Excluded		XP_011326859.1	YKR063C	SPBC16C6.12c.1:pep	1	YKR063C	both
both	both	OG0000038	fgraminearum::FGRAMPH1_01G24073	yes	fgsg_header_repo_local_mapping	inferred	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	1.0	4	0.6111	strict_core_multicopy	no	no	38	3	no	no	no	no	Excluded		XP_011326860.1	YKR063C	SPBC16C6.12c.1:pep	1	YKR063C	both
both	both	OG0000038	fgraminearum::FGRAMPH1_01G24073	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	1.0	4	0.6111	strict_core_multicopy	no	no	38	3	no	no	no	no	Excluded		XP_011326858.1	YKR063C	SPBC16C6.12c.1:pep	1	YKR063C	both
spom_only	spom_only	OG0000039	fgraminearum::FGRAMPH1_01G10641	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	38	2	no	no	no	no	Excluded		XP_011320019.1		SPAC13G7.10.1:pep	1	SPAC13G7.10.1:pep	spom
spom_only	spom_only	OG0000039	fgraminearum::FGRAMPH1_01G10643	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	38	2	no	no	no	no	Excluded		XP_011320018.1		SPAC13G7.10.1:pep	1	SPAC13G7.10.1:pep	spom
spom_only	spom_only	OG0000041	fgraminearum::FGRAMPH1_01G26129	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	38	2	no	no	no	no	Excluded		XP_011327829.1		SPBC776.10c.1:pep	1	SPBC776.10c.1:pep	spom
spom_only	spom_only	OG0000041	fgraminearum::FGRAMPH1_01G26131	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	38	2	no	no	no	no	Excluded		XP_011327830.1		SPBC776.10c.1:pep	1	SPBC776.10c.1:pep	spom
both	both	OG0000042	fgraminearum::FGRAMPH1_01G04853	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	38	2	no	no	no	no	Excluded		XP_011317878.1	YBR198C	SPBC15D4.14.1:pep;SPCC5E4.03c.1:pep	1	YBR198C	both
both	both	OG0000042	fgraminearum::FGRAMPH1_01G04855	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	38	2	no	no	no	no	Excluded		XP_011317879.1	YBR198C	SPBC15D4.14.1:pep;SPCC5E4.03c.1:pep	1	YBR198C	both
scer_only	scer_only	OG0000043	fgraminearum::FGRAMPH1_01G06711	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7222	2.0	2	0.2778	strict_core_multicopy	no	no	37	2	no	no	no	no	Excluded		XP_011318767.1	YOL120C		1	YOL120C	scer
scer_only	scer_only	OG0000043	fgraminearum::FGRAMPH1_01G06713	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7222	2.0	2	0.2778	strict_core_multicopy	no	no	37	2	no	no	no	no	Excluded		XP_011318768.1	YOL120C		1	YOL120C	scer
both	both	OG0000045	fgraminearum::FGRAMPH1_01G24061	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	37	2	no	no	no	no	Excluded		XP_011326851.1	YNL189W	SPBC1604.08c.1:pep;SPCC962.03c.1:pep	1	YNL189W	both
both	both	OG0000045	fgraminearum::FGRAMPH1_01G24063	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	37	2	no	no	no	no	Excluded		XP_011326852.1	YNL189W	SPBC1604.08c.1:pep;SPCC962.03c.1:pep	1	YNL189W	both
scer_only	scer_only	OG0000046		no	no_sequence_or_fgsg_bridge	unresolved	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.9444	2.0	3	0.4444	strict_core_multicopy	no	no	37	3	no	no	no	no	Excluded		XP_011326273.1	YDL004W		1	YDL004W	scer
scer_only	scer_only	OG0000046	fgraminearum::FGRAMPH1_01G22821	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.9444	2.0	3	0.4444	strict_core_multicopy	no	no	37	3	no	no	no	no	Excluded		XP_011326272.1	YDL004W		1	YDL004W	scer
scer_only	scer_only	OG0000046	fgraminearum::FGRAMPH1_01G22825	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.9444	2.0	3	0.4444	strict_core_multicopy	no	no	37	3	no	no	no	no	Excluded		XP_011326274.1	YDL004W		1	YDL004W	scer
spom_only	spom_only	OG0000049	fgraminearum::FGRAMPH1_01G02531	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.8333	2.0	3	0.2222	strict_core_multicopy	no	no	37	3	no	no	no	no	Excluded		XP_011316761.1;XP_011316762.1		SPBC1289.02c.1:pep	2	SPBC1289.02c.1:pep	spom
spom_only	spom_only	OG0000049	fgraminearum::FGRAMPH1_01G02533	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.8333	2.0	3	0.2222	strict_core_multicopy	no	no	37	3	no	no	no	no	Excluded		XP_011316763.1		SPBC1289.02c.1:pep	1	SPBC1289.02c.1:pep	spom
spom_only	spom_only	OG0000058	fgraminearum::FGRAMPH1_01G03291	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011317120.1		SPBC24C6.03.1:pep	1	SPBC24C6.03.1:pep	spom
spom_only	spom_only	OG0000058	fgraminearum::FGRAMPH1_01G03293	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011317121.1		SPBC24C6.03.1:pep	1	SPBC24C6.03.1:pep	spom
both	both	OG0000059	fgraminearum::FGRAMPH1_01G26561	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011328042.1	YER127W;YKR025W	SPAC18B11.06.1:pep;SPCC330.13.1:pep	1	YER127W	both
both	both	OG0000059	fgraminearum::FGRAMPH1_01G26563	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011328043.1	YER127W;YKR025W	SPAC18B11.06.1:pep;SPCC330.13.1:pep	1	YER127W	both
both	both	OG0000061	fgraminearum::FGRAMPH1_01G23191	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011326439.1	YFR005C;YLR222C	SPBC577.07.1:pep;SPCC16A11.02.1:pep	1	YFR005C	both
both	both	OG0000061	fgraminearum::FGRAMPH1_01G23193	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011326440.1	YFR005C;YLR222C	SPBC577.07.1:pep;SPCC16A11.02.1:pep	1	YFR005C	both
scer_only	scer_only	OG0000062	fgraminearum::FGRAMPH1_01G10563	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.8889	1.0	5	0.5556	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011320055.1	YBR136W		1	YBR136W	scer
scer_only	scer_only	OG0000062	fgraminearum::FGRAMPH1_01G10565	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.8889	1.0	5	0.5556	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011320054.1	YBR136W		1	YBR136W	scer
spom_only	spom_only	OG0000063	fgraminearum::FGRAMPH1_01G27427	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011328461.1		SPAC4F10.03c.1:pep	1	SPAC4F10.03c.1:pep	spom
spom_only	spom_only	OG0000063	fgraminearum::FGRAMPH1_01G27429	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011328462.1		SPAC4F10.03c.1:pep	1	SPAC4F10.03c.1:pep	spom
spom_only	spom_only	OG0000064	fgraminearum::FGRAMPH1_01G27263	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011328382.1		SPAC3G9.10c.1:pep	1	SPAC3G9.10c.1:pep	spom
spom_only	spom_only	OG0000064	fgraminearum::FGRAMPH1_01G27267	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011328384.1		SPAC3G9.10c.1:pep	1	SPAC3G9.10c.1:pep	spom
spom_only	spom_only	OG0000067	fgraminearum::FGRAMPH1_01G17577	yes	exact_sequence_plus_unified_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011323817.1		SPBC1861.08c.1:pep	1	SPBC1861.08c.1:pep	spom
spom_only	spom_only	OG0000067	fgraminearum::FGRAMPH1_01G17579	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	36	2	yes	no	yes	yes	Positive	lethal_phi_supported_positive	XP_011323818.1		SPBC1861.08c.1:pep	1	SPBC1861.08c.1:pep	spom
both	both	OG0000068	fgraminearum::FGRAMPH1_01G01131	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.8889	2.0	3	0.2778	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011316103.1	YOR004W	SPCC18.12c.1:pep	1	YOR004W	both
both	both	OG0000068	fgraminearum::FGRAMPH1_01G01133	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.8889	2.0	3	0.2778	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011316104.1	YOR004W	SPCC18.12c.1:pep	1	YOR004W	both
spom_only	spom_only	OG0000069	fgraminearum::FGRAMPH1_01G00779	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	3	0.2778	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011315937.1		SPBC28F2.06c.1:pep	1	SPBC28F2.06c.1:pep	spom
spom_only	spom_only	OG0000069	fgraminearum::FGRAMPH1_01G00783	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	3	0.2778	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011315938.1		SPBC28F2.06c.1:pep	1	SPBC28F2.06c.1:pep	spom
both	both	OG0000071	fgraminearum::FGRAMPH1_01G26289	yes	unified_plus_fgsg_support		data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011327909.1	YOR160W	SPBC11G11.07.1:pep	1	YOR160W	both
both	both	OG0000071	fgraminearum::FGRAMPH1_01G26291	yes	exact_sequence_plus_fgsg_support	exact	data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	yes	low	18	1.0000	1.7778	2.0	2	0.2222	strict_core_multicopy	no	no	36	2	no	no	no	no	Excluded		XP_011327910.1	YOR160W	SPBC11G11.07.1:pep	1	YOR160W	both
