canonical_gene_id	historical_positive_sources	present_in_pre_reaudit_processed	present_in_post_rebuild_processed	status_after_rebuild	post_positive_sources	post_construction_bucket	post_supporting_xp_ids	post_supporting_orthogroup_ids	post_supporting_bridge_methods	historical_lethal_mapping_rule	historical_lethal_raw_gene_id	historical_lethal_raw_protein_id
fgraminearum::FGRAMPH1_01G07227	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011319009.1	OG0001717	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G07249	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011319020.1	OG0002008	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G07377	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011319077.1	OG0002017	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G07579	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011319170.1	OG0003685	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G07895	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011319319.1	OG0001487	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G07911	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011319327.1	OG0002838	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G09819	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011320396.1	OG0002342	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G09919	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011320353.1	OG0002349	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G10513	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011320077.1	OG0001201	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G10789	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011319950.1	OG0002472	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G10801	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011319944.1	OG0003873	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G10903	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011319897.1	OG0002478	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G11109	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011319812.1	OG0002506	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G11305	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011323030.1	OG0002007	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G11337	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011323016.1	OG0002003	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G14205	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011321666.1	OG0002950	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G14289	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011321626.1	OG0002954	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G14641	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011321465.1	OG0004127	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G14701	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011321436.1	OG0001616	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G14855	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011321363.1	OG0003632	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G14913	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011321336.1	OG0001151	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G14921	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011321332.1	OG0001946	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G14945	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011321321.1	OG0001952	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G15079	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011321260.1	OG0001961	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G15329	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011321147.1	OG0001977	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G15387	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011321124.1	OG0001979	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G15399	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011321118.1	OG0006781	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G17277	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011323678.1	OG0001081	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G17391	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011323728.1	OG0000563	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G17455	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011323758.1	OG0002658	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G17537	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011323799.1	OG0002667	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G17637	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011323845.1	OG0002676	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G17793	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011323918.1	OG0002681	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G17963	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011323998.1	OG0002060	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G18101	weak_positive	false	true	recovered	lethal;weak_positive	lethal_plus_high_confidence_yeast_transfer	XP_011324059.1	OG0002075	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G18167	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011324091.1	OG0002085	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G18171	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011324093.1	OG0001046	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G18347	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011324181.1	OG0002587	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G18365	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011324190.1	OG0002588	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G18515	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011324260.1	OG0002595	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G18931	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011324459.1	OG0001524	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G19173	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011324575.1	OG0003004	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G19385	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011324679.1	OG0003022	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G19401	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011324687.1	OG0003086	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G19717	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011324832.1	OG0001417	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G19855	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011324894.1	OG0003071	unified_map_preferred_over_legacy_sequence_bridge			
fgraminearum::FGRAMPH1_01G19955	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011324941.1	OG0003089	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G20183	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011325049.1	OG0002181	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G20287	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011325697.1	OG0004210	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G20299	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011325690.1	OG0003179	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G20479	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011325610.1	OG0003195	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G20749	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011325484.1	OG0002527	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G20779	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011325469.1	OG0002533	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G20833	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011325444.1	OG0001607	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G20835	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011325442.1	OG0002536	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G22627	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326192.1	OG0001144	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G22645	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326201.1	OG0001932	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G22773	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326249.1	OG0002385	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G22917	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326320.1	OG0002398	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G23005	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326360.1	OG0002411	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G23103	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326401.1	OG0002419	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G23225	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326456.1	OG0001179	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G23259	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326473.1	OG0001833	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G23327	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326503.1	OG0001790	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G23401	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326540.1	OG0001800	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G23505	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326590.1	OG0003367	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G23605	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326635.1	OG0001126	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G23707	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326681.1	OG0001860	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G23937	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326791.1	OG0002322	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G23973	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326808.1	OG0002329	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G23981	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326812.1	OG0003808	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G24019	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326830.1	OG0002338	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G24029	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011326835.1	OG0002336	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G24455	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327041.1	OG0002254	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G24549	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327085.1	OG0002266	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G24587	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327101.1	OG0003374	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G24707	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327158.1	OG0002274	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G24745	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327174.1	OG0002281	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G24957	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327274.1	OG0000851	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G24959	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327275.1	OG0002306	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G25015	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327300.1	OG0002308	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G25925	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327729.1	OG0001337	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G26037	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327784.1	OG0002709	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G26067	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327799.1	OG0001339	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G26111	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327820.1	OG0001376	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G26147	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327838.1	OG0002873	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G26209	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327870.1	OG0004079	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G26243	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327887.1	OG0002860	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G26309	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327920.1	OG0002852	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G26333	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327930.1	OG0002627	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G26391	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011327960.1	OG0002625	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G26701	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011328108.1	OG0002828	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G26703	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011328109.1	OG0002827	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G26765	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011328139.1	OG0002818	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G26801	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011328156.1	OG0002816	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G26955	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011328229.1	OG0000914	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G27217	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011328360.1	OG0002449	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G27379	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011328436.1	OG0001601	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G27543	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011328514.1	OG0002203	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G27795	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011328629.1	OG0002192	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G28077	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011328764.1	OG0003495	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G28249	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011328849.1	OG0002710	ncbi_protein_id_via_unified_map			
