gene_id	recovered	recovery_status	recovery_source_file	recovery_source_type	chosen_source_record_id	candidate_count	chosen_sequence_length
FBgn0034152	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0086230	2	121
FBgn0034186	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0086164	2	868
FBgn0034315	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0085950	1	464
FBgn0034427	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0085745	1	341
FBgn0034822	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0071888	1	89
FBgn0034870	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0071966	1	114
FBgn0034882	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0071980	1	238
FBgn0035042	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0072229	1	296
FBgn0035244	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0072637	2	743
FBgn0035476	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0073029	1	320
FBgn0035789	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0076503	1	480
FBgn0035847	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0076449	2	491
FBgn0035998	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0290254	1	349
FBgn0036035	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0076141	2	374
FBgn0036970	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0077830	2	416
FBgn0037493	True	recovered	NEssential_proteins_NR.fasta	direct_id_fasta	FBgn0037493	1	270
FBgn0037727	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0081559	1	702
FBgn0038037	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0082070	1	516
FBgn0038299	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0082594	1	426
FBgn0038855	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0083411	1	546
FBgn0038888	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0083488	1	200
FBgn0038918	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0083547	1	562
FBgn0039739	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0084966	1	64
FBgn0040097	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0079415	1	223
FBgn0040338	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0070177	1	107
FBgn0040705	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0077130	1	95
FBgn0043069	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0082810	2	280
FBgn0050083	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0289610	1	279
FBgn0050259	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0071832	1	540
FBgn0050395	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0289463	1	906
FBgn0050409	True	recovered	NEssential_proteins_NR.fasta	direct_id_fasta	FBgn0050409	1	98
FBgn0050491	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0087993	2	331
FBgn0051431	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0083535	3	361
FBgn0051524	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0085046	2	536
FBgn0051526	True	recovered	NEssential_proteins_NR.fasta	direct_id_fasta	FBgn0051526	1	70
FBgn0051611	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0085280	1	103
FBgn0051835	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0080229	1	349
FBgn0051882	True	recovered	NEssential_proteins_NR.fasta	direct_id_fasta	FBgn0051882	1	121
FBgn0052189	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0074929	1	105
FBgn0052241	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292131	1	415
FBgn0052301	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0290536	3	1111
FBgn0053459	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0088798	1	284
FBgn0053462	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0086420	1	300
FBgn0054031	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0301047	1	219
FBgn0058002	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0112496	2	94
FBgn0250785	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0088886	5	636
FBgn0261592	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0071087	2	248
FBgn0261608	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0078655	3	92
FBgn0261609	True	recovered	Essential_proteins_NR.fasta	direct_id_fasta	FBgn0261609	1	341
FBgn0261610	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292047	1	897
FBgn0261611	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0311594	8	509
FBgn0261625	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292103	10	775
FBgn0261641	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292135	7	1123
FBgn0261647	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0077442	4	852
FBgn0261673	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0086980	8	290
FBgn0261679	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292193	1	441
FBgn0261686	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292205	3	97
FBgn0261698	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292199	9	1878
FBgn0261710	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0071394	4	2309
FBgn0261714	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0082021	2	864
FBgn0261723	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0288576	1	741
FBgn0261787	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0080933	1	1320
FBgn0261789	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0081234	1	119
FBgn0261790	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0079182	1	94
FBgn0261802	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0305885	11	2190
FBgn0261803	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292371	3	345
FBgn0261858	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292515	1	82
FBgn0261859	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292538	2	1560
FBgn0261862	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0290496	4	782
FBgn0261928	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0311381	6	3213
FBgn0261931	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292725	4	1426
FBgn0261933	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0075684	1	124
FBgn0261934	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303178	6	3261
FBgn0261985	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0297514	5	974
FBgn0261986	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0084272	1	607
FBgn0261989	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292826	2	278
FBgn0261992	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292828	1	109
FBgn0261996	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292831	1	237
FBgn0261997	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292834	1	101
FBgn0261999	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292804	2	1215
FBgn0262002	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292806	1	689
FBgn0262009	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292841	2	116
FBgn0262010	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292842	1	89
FBgn0262018	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0292843	2	1799
FBgn0262111	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0293023	9	1918
FBgn0262116	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0110588	2	95
FBgn0262123	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0112753	2	890
FBgn0262126	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303000	3	1231
FBgn0262139	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303179	7	1022
FBgn0262169	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0087487	4	613
FBgn0262475	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0293396	11	893
FBgn0262508	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0293353	13	2540
FBgn0262562	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0293548	7	2519
FBgn0262593	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0306030	10	1607
FBgn0262594	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0091049	1	177
FBgn0262595	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0091020	1	180
FBgn0262598	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0290393	2	649
FBgn0262599	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0293782	3	507
FBgn0262614	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0301889	12	2395
FBgn0262619	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0072041	1	747
FBgn0262717	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0296946	4	1503
FBgn0262719	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0296980	2	2523
FBgn0262732	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303170	5	188
FBgn0262734	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0310225	5	388
FBgn0262738	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0070618	6	1095
FBgn0262740	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0073392	5	807
FBgn0262782	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0079640	2	337
FBgn0262866	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0077052	2	911
FBgn0262869	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0297308	10	1279
FBgn0262870	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0297315	7	2179
FBgn0263006	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0072120	9	1020
FBgn0263023	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0297758	1	172
FBgn0263025	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0297777	1	398
FBgn0263027	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0297779	1	359
FBgn0263029	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0297761	1	66
FBgn0263048	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0297798	3	1304
FBgn0263076	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0352250	5	760
FBgn0263077	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0297794	15	3213
FBgn0263079	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0297775	2	853
FBgn0263109	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0298308	1	2140
FBgn0263110	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0298310	4	2754
FBgn0263112	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0298329	4	837
FBgn0263113	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0298338	1	1336
FBgn0263117	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303414	5	453
FBgn0263118	True	recovered	NEssential_proteins_NR.fasta	direct_id_fasta	FBgn0263118	1	384
FBgn0263121	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0087969	2	244
FBgn0263131	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0298357	2	1854
FBgn0263143	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0083716	1	691
FBgn0263199	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0076280	4	490
FBgn0263219	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0305766	5	1935
FBgn0263232	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0424322	2	615
FBgn0263235	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0291994	2	265
FBgn0263256	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0300618	5	948
FBgn0263258	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0309499	5	1558
FBgn0263353	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0112107	2	332
FBgn0263354	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0301048	4	984
FBgn0263355	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303237	5	714
FBgn0263390	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0301109	2	714
FBgn0263395	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0085692	5	1218
FBgn0263397	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0099780	11	1327
FBgn0263456	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0310643	10	1075
FBgn0263512	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0309767	2	645
FBgn0263594	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0078561	1	545
FBgn0263598	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0079999	6	614
FBgn0263606	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0111355	1	240
FBgn0263705	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0302017	4	3145
FBgn0263706	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0302018	8	2263
FBgn0263750	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0302550	3	372
FBgn0263755	True	recovered	NEssential_proteins_NR.fasta	direct_id_fasta	FBgn0263755	1	635
FBgn0263772	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0302633	7	1706
FBgn0263774	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0302699	2	1096
FBgn0263776	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0302706	7	572
FBgn0263780	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0289380	2	855
FBgn0263831	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0076879	1	726
FBgn0263846	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0302849	7	2021
FBgn0263968	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0070933	2	3218
FBgn0263974	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0302955	1	1857
FBgn0263977	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0112618	2	173
FBgn0263980	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303048	18	1970
FBgn0263986	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0083696	1	830
FBgn0263987	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0070761	5	607
FBgn0263994	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303292	2	1605
FBgn0264006	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303444	7	1254
FBgn0264078	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303248	12	448
FBgn0264086	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303539	2	682
FBgn0264087	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303549	11	1347
FBgn0264090	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303584	4	900
FBgn0264272	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0307717	3	1069
FBgn0264273	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303027	4	824
FBgn0264296	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303889	1	95
FBgn0264297	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303890	1	272
FBgn0264301	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303896	1	256
FBgn0264302	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303897	2	162
FBgn0264303	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303899	2	57
FBgn0264305	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0303909	5	1248
FBgn0264308	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0428276	4	1003
FBgn0264339	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0304311	1	1420
FBgn0264386	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0306997	5	3218
FBgn0264443	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0304823	4	568
FBgn0264449	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0310016	10	1852
FBgn0264486	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0305025	4	235
FBgn0264488	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0305040	3	2113
FBgn0264494	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0077553	2	766
FBgn0264502	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0305151	3	2281
FBgn0264542	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0305357	4	1768
FBgn0264561	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0304963	2	1107
FBgn0264598	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0305709	8	2777
FBgn0264693	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0112048	12	1241
FBgn0264712	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0078436	3	249
FBgn0264738	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0306234	1	327
FBgn0264744	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0306251	1	345
FBgn0264751	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0306261	2	122
FBgn0264776	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0306269	1	219
FBgn0264815	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0306255	9	1173
FBgn0264816	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0306263	4	259
FBgn0264895	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0306873	5	959
FBgn0264907	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0306978	4	813
FBgn0264953	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0312565	11	2973
FBgn0264962	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0291500	7	1953
FBgn0265001	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0307473	1	553
FBgn0265002	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0307477	2	1946
FBgn0265003	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0307480	6	965
FBgn0265011	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0111472	2	1041
FBgn0265042	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0307580	7	652
FBgn0265048	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0082643	1	1470
FBgn0265052	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0307661	3	526
FBgn0265082	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0307781	4	4273
FBgn0265102	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0076386	2	1169
FBgn0265138	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0077566	1	383
FBgn0265139	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0289461	2	428
FBgn0265140	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0290713	2	1407
FBgn0265177	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0308230	2	80
FBgn0265182	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0308242	2	536
FBgn0265184	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0308248	1	407
FBgn0265185	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0308250	2	297
FBgn0265187	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0308253	3	714
FBgn0265190	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0308257	1	536
FBgn0265191	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0308234	6	699
FBgn0265192	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0308244	4	281
FBgn0265264	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0290352	1	1087
FBgn0265265	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0071014	1	122
FBgn0265267	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0074166	1	468
FBgn0265268	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0289326	1	515
FBgn0265269	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0077160	1	205
FBgn0265271	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0081901	2	306
FBgn0265272	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0086831	1	202
FBgn0265274	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0084719	3	395
FBgn0265298	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0088838	4	195
FBgn0265413	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0308719	5	146
FBgn0265434	True	recovered	Essential_proteins_NR.fasta	direct_id_fasta	FBgn0265434	1	1971
FBgn0265464	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0071136	1	475
FBgn0265512	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0087457	3	459
FBgn0265597	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0309308	6	1799
FBgn0265605	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0086392	2	264
FBgn0265626	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0309422	1	899
FBgn0265627	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0309423	2	732
FBgn0265959	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0309721	5	746
FBgn0265988	True	recovered	NEssential_proteins_NR.fasta	direct_id_fasta	FBgn0265988	1	3535
FBgn0266000	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0309836	8	622
FBgn0266019	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0428278	6	2162
FBgn0266099	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0310151	2	833
FBgn0266101	True	recovered	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0310159	6	828
