gene_id	in_labels	in_fasta_source	duplicate_id	sequence_length	source_file	source_type	source_record_id	candidate_count	status
FBgn0000337	True	True	False	447	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000337	1	matched
FBgn0000352	True	True	False	1201	Fly_Essential_genes.xlsx	excel_primary	FBgn0000352	1	matched
FBgn0000355	True	True	False	115	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000355	1	matched
FBgn0000356	True	True	False	138	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000356	1	matched
FBgn0000358	True	True	False	173	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000358	1	matched
FBgn0000359	True	True	False	284	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000359	1	matched
FBgn0000360	True	True	False	306	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000360	1	matched
FBgn0000384	True	True	False	457	Fly_Essential_genes.xlsx	excel_primary	FBgn0000384	1	matched
FBgn0000392	True	True	False	1117	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000392	1	matched
FBgn0000404	True	True	False	491	Fly_Essential_genes.xlsx	excel_primary	FBgn0000404	1	matched
FBgn0000405	True	True	False	530	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000405	1	matched
FBgn0000406	True	True	False	436	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000406	1	matched
FBgn0000416	True	True	False	953	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000416	1	matched
FBgn0000422	True	True	False	475	Fly_Essential_genes.xlsx	excel_primary	FBgn0000422	1	matched
FBgn0000427	True	True	False	1590	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000427	1	matched
FBgn0000442	True	True	False	768	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000442	1	matched
FBgn0000454	True	True	False	508	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000454	1	matched
FBgn0000455	True	True	False	491	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000455	1	matched
FBgn0000477	True	True	False	366	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000477	1	matched
FBgn0000489	True	True	False	583	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000489	1	matched
FBgn0000500	True	True	False	141	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000500	1	matched
FBgn0000527	True	True	False	879	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000527	1	matched
FBgn0000529	True	True	False	429	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000529	1	matched
FBgn0000535	True	True	False	1268	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000535	1	matched
FBgn0000559	True	True	False	844	Fly_Essential_genes.xlsx	excel_primary	FBgn0000559	1	matched
FBgn0000562	True	True	False	1004	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000562	1	matched
FBgn0000565	True	True	False	246	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000565	1	matched
FBgn0000594	True	True	False	544	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000594	1	matched
FBgn0000611	True	True	False	376	Fly_Essential_genes.xlsx	excel_primary	FBgn0000611	1	matched
FBgn0000618	True	True	False	101	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000618	1	matched
FBgn0000633	True	True	False	822	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000633	1	matched
FBgn0000636	True	True	False	577	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000636	1	matched
FBgn0000639	True	True	False	1029	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000639	1	matched
FBgn0000644	True	True	False	282	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000644	1	matched
FBgn0000658	True	True	False	583	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000658	1	matched
FBgn0000810	True	True	False	463	Fly_Essential_genes.xlsx	excel_primary	FBgn0000810	1	matched
FBgn0000964	True	True	False	511	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0000964	1	matched
FBgn0001084	True	True	False	416	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001084	1	matched
FBgn0001085	True	True	False	581	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001085	1	matched
FBgn0001089	True	True	False	672	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001089	1	matched
FBgn0001090	True	True	False	442	Fly_Essential_genes.xlsx	excel_primary	FBgn0001090	1	matched
FBgn0001092	True	True	False	332	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001092	1	matched
FBgn0001098	True	True	False	562	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001098	1	matched
FBgn0001104	True	True	False	355	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001104	1	matched
FBgn0001114	True	True	False	1026	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001114	1	matched
FBgn0001125	True	True	False	424	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001125	1	matched
FBgn0001134	True	True	False	686	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001134	1	matched
FBgn0001138	True	True	False	486	Fly_Essential_genes.xlsx	excel_primary	FBgn0001138	1	matched
FBgn0001147	True	True	False	449	Fly_Essential_genes.xlsx	excel_primary	FBgn0001147	1	matched
FBgn0001170	True	True	False	418	Fly_Essential_genes.xlsx	excel_primary	FBgn0001170	1	matched
FBgn0001174	True	True	False	109	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001174	1	matched
FBgn0001187	True	True	False	454	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001187	1	matched
FBgn0001202	True	True	False	679	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001202	1	matched
FBgn0001206	True	True	False	1413	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001206	1	matched
FBgn0001217	True	True	False	633	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001217	1	matched
FBgn0001223	True	True	False	174	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001223	1	matched
FBgn0001226	True	True	False	213	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001226	1	matched
FBgn0001228	True	True	False	111	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001228	1	matched
FBgn0001247	True	True	False	990	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001247	1	matched
FBgn0001254	True	True	False	466	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001254	1	matched
FBgn0001255	True	True	False	325	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001255	1	matched
FBgn0001256	True	True	False	341	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001256	1	matched
FBgn0001257	True	True	False	263	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001257	1	matched
FBgn0001258	True	True	False	332	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001258	1	matched
FBgn0001263	True	True	False	674	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001263	1	matched
FBgn0001269	True	True	False	576	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001269	1	matched
FBgn0001280	True	True	False	119	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001280	1	matched
FBgn0001281	True	True	False	140	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0084963	1	matched
FBgn0001296	True	True	False	553	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001296	1	matched
FBgn0001308	True	True	False	975	Fly_Essential_genes.xlsx	excel_primary	FBgn0001308	1	matched
FBgn0001311	True	True	False	1615	Fly_Essential_genes.xlsx	excel_primary	FBgn0001311	1	matched
FBgn0001313	True	True	False	4459	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001313	1	matched
FBgn0001316	True	True	False	1180	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001316	1	matched
FBgn0001323	True	True	False	647	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0001323	1	matched
FBgn0001330	True	True	False	1192	Fly_Essential_genes.xlsx	excel_primary	FBgn0001330	1	matched
FBgn0001942	True	True	False	403	Fly_Essential_genes.xlsx	excel_primary	FBgn0001942	1	matched
FBgn0002036	True	True	False	504	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002036	1	matched
FBgn0002044	True	True	False	1062	Fly_Essential_genes.xlsx	excel_primary	FBgn0002044	1	matched
FBgn0002284	True	True	False	235	Fly_Essential_genes.xlsx	excel_primary	FBgn0002284	1	matched
FBgn0002531	True	True	False	130	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002531	1	matched
FBgn0002562	True	True	False	816	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002562	1	matched
FBgn0002565	True	True	False	701	Fly_Essential_genes.xlsx	excel_primary	FBgn0002565	1	matched
FBgn0002567	True	True	False	214	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002567	1	matched
FBgn0002573	True	True	False	541	Fly_Essential_genes.xlsx	excel_primary	FBgn0002573	1	matched
FBgn0002576	True	True	False	826	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002576	1	matched
FBgn0002577	True	True	False	682	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002577	1	matched
FBgn0002578	True	True	False	156	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002578	1	matched
FBgn0002592	True	True	False	218	Fly_Essential_genes.xlsx	excel_primary	FBgn0002592	1	matched
FBgn0002609	True	True	False	224	Fly_Essential_genes.xlsx	excel_primary	FBgn0002609	1	matched
FBgn0002632	True	True	False	70	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002632	1	matched
FBgn0002641	True	True	False	781	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002641	1	matched
FBgn0002645	True	True	False	1185	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002645	1	matched
FBgn0002673	True	True	False	426	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002673	1	matched
FBgn0002707	True	True	False	961	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002707	1	matched
FBgn0002709	True	True	False	1186	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002709	1	matched
FBgn0002715	True	True	False	401	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002715	1	matched
FBgn0002719	True	True	False	759	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002719	1	matched
FBgn0002773	True	True	False	222	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002773	1	matched
FBgn0002789	True	True	False	184	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002789	1	matched
FBgn0002842	True	True	False	275	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002842	1	matched
FBgn0002855	True	True	False	264	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002855	1	matched
FBgn0002856	True	True	False	90	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002856	1	matched
FBgn0002863	True	True	False	52	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002863	1	matched
FBgn0002865	True	True	False	334	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002865	1	matched
FBgn0002868	True	True	False	40	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002868	1	matched
FBgn0002872	True	True	False	1259	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002872	1	matched
FBgn0002873	True	True	False	2567	Fly_Essential_genes.xlsx	excel_primary	FBgn0002873	1	matched
FBgn0002887	True	True	False	1236	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002887	1	matched
FBgn0002891	True	True	False	2130	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002891	1	matched
FBgn0002899	True	True	False	1051	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002899	1	matched
FBgn0002901	True	True	False	846	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002901	1	matched
FBgn0002905	True	True	False	2059	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002905	1	matched
FBgn0002909	True	True	False	513	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002909	1	matched
FBgn0002930	True	True	False	476	Fly_Essential_genes.xlsx	excel_primary	FBgn0002930	1	matched
FBgn0002931	True	True	False	360	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002931	1	matched
FBgn0002937	True	True	False	620	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002937	1	matched
FBgn0002938	True	True	False	1135	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002938	1	matched
FBgn0002940	True	True	False	373	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002940	1	matched
FBgn0002989	True	True	False	784	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0002989	1	matched
FBgn0003002	True	True	False	609	Fly_Essential_genes.xlsx	excel_primary	FBgn0003002	1	matched
FBgn0003008	True	True	False	191	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003008	1	matched
FBgn0003042	True	True	False	390	Fly_Essential_genes.xlsx	excel_primary	FBgn0003042	1	matched
FBgn0003067	True	True	False	647	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003067	1	matched
FBgn0003068	True	True	False	1218	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003068	1	matched
FBgn0003082	True	True	False	555	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003082	1	matched
FBgn0003086	True	True	False	172	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003086	1	matched
FBgn0003090	True	True	False	963	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003090	1	matched
FBgn0003091	True	True	False	679	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003091	1	matched
FBgn0003134	True	True	False	327	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003134	1	matched
FBgn0003159	True	True	False	1234	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003159	1	matched
FBgn0003175	True	True	False	1995	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003175	1	matched
FBgn0003187	True	True	False	888	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003187	1	matched
FBgn0003210	True	True	False	1160	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003210	1	matched
FBgn0003227	True	True	False	885	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003227	1	matched
FBgn0003249	True	True	False	383	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003249	1	matched
FBgn0003257	True	True	False	493	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003257	1	matched
FBgn0003274	True	True	False	113	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003274	1	matched
FBgn0003275	True	True	False	131	Fly_Essential_genes.xlsx	excel_primary	FBgn0003275	1	matched
FBgn0003279	True	True	False	401	Fly_Essential_genes.xlsx	excel_primary	FBgn0003279	1	matched
FBgn0003292	True	True	False	886	Fly_Essential_genes.xlsx	excel_primary	FBgn0003292	1	matched
FBgn0003302	True	True	False	335	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003302	1	matched
FBgn0003310	True	True	False	597	Fly_Essential_genes.xlsx	excel_primary	FBgn0003310	1	matched
FBgn0003330	True	True	False	435	Fly_Essential_genes.xlsx	excel_primary	FBgn0003330	1	matched
FBgn0003372	True	True	False	1286	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003372	1	matched
FBgn0003375	True	True	False	163	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003375	1	matched
FBgn0003377	True	True	False	74	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003377	1	matched
FBgn0003380	True	True	False	643	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003380	1	matched
FBgn0003401	True	True	False	455	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003401	1	matched
FBgn0003416	True	True	False	1236	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003416	1	matched
FBgn0003423	True	True	False	669	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003423	1	matched
FBgn0003429	True	True	False	1175	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003429	1	matched
FBgn0003447	True	True	False	512	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003447	1	matched
FBgn0003464	True	True	False	395	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003464	1	matched
FBgn0003479	True	True	False	336	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003479	1	matched
FBgn0003480	True	True	False	341	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003480	1	matched
FBgn0003482	True	True	False	270	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0084486	1	matched
FBgn0003495	True	True	False	253	Fly_Essential_genes.xlsx	excel_primary	FBgn0003495	1	matched
FBgn0003507	True	True	False	1249	Fly_Essential_genes.xlsx	excel_primary	FBgn0003507	1	matched
FBgn0003510	True	True	False	530	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003510	1	matched
FBgn0003512	True	True	False	433	Fly_Essential_genes.xlsx	excel_primary	FBgn0003512	1	matched
FBgn0003520	True	True	False	914	Fly_Essential_genes.xlsx	excel_primary	FBgn0003520	1	matched
FBgn0003527	True	True	False	321	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003527	1	matched
FBgn0003638	True	True	False	176	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003638	1	matched
FBgn0003654	True	True	False	627	Fly_Essential_genes.xlsx	excel_primary	FBgn0003654	1	matched
FBgn0003655	True	True	False	548	Fly_Essential_genes.xlsx	excel_primary	FBgn0003655	1	matched
FBgn0003656	True	True	False	1425	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003656	1	matched
FBgn0003676	True	True	False	557	Fly_Essential_genes.xlsx	excel_primary	FBgn0003676	1	matched
FBgn0003687	True	True	False	353	Fly_Essential_genes.xlsx	excel_primary	FBgn0003687	1	matched
FBgn0003701	True	True	False	1379	Fly_Essential_genes.xlsx	excel_primary	FBgn0003701	1	matched
FBgn0003719	True	True	False	1067	Fly_Essential_genes.xlsx	excel_primary	FBgn0003719	1	matched
FBgn0003733	True	True	False	923	Fly_Essential_genes.xlsx	excel_primary	FBgn0003733	1	matched
FBgn0003741	True	True	False	197	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003741	1	matched
FBgn0003747	True	True	False	444	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003747	1	matched
FBgn0003861	True	True	False	1275	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003861	1	matched
FBgn0003885	True	True	False	450	Fly_Essential_genes.xlsx	excel_primary	FBgn0003885	1	matched
FBgn0003890	True	True	False	457	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003890	1	matched
FBgn0003942	True	True	False	156	Fly_Essential_genes.xlsx	excel_primary	FBgn0003942	1	matched
FBgn0003965	True	True	False	379	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003965	1	matched
FBgn0003969	True	True	False	954	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003969	1	matched
FBgn0003980	True	True	False	168	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003980	1	matched
FBgn0003996	True	True	False	687	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0003996	1	matched
FBgn0004034	True	True	False	514	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004034	1	matched
FBgn0004045	True	True	False	439	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004045	1	matched
FBgn0004052	True	True	False	90	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004052	1	matched
FBgn0004055	True	True	False	488	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004055	1	matched
FBgn0004066	True	True	False	249	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004066	1	matched
FBgn0004087	True	True	False	182	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004087	1	matched
FBgn0004107	True	True	False	314	Fly_Essential_genes.xlsx	excel_primary	FBgn0004107	1	matched
FBgn0004108	True	True	False	846	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004108	1	matched
FBgn0004181	True	True	False	377	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004181	1	matched
FBgn0004228	True	True	False	83	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004228	1	matched
FBgn0004237	True	True	False	385	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004237	1	matched
FBgn0004359	True	True	False	419	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004359	1	matched
FBgn0004360	True	True	False	352	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004360	1	matched
FBgn0004367	True	True	False	2517	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004367	1	matched
FBgn0004369	True	True	False	1297	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004369	1	matched
FBgn0004370	True	True	False	1631	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004370	1	matched
FBgn0004372	True	True	False	568	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004372	1	matched
FBgn0004373	True	True	False	1674	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004373	1	matched
FBgn0004387	True	True	False	1265	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004387	1	matched
FBgn0004390	True	True	False	1163	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004390	1	matched
FBgn0004397	True	True	False	961	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004397	1	matched
FBgn0004400	True	True	False	418	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004400	1	matched
FBgn0004401	True	True	False	716	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004401	1	matched
FBgn0004407	True	True	False	361	Fly_Essential_genes.xlsx	excel_primary	FBgn0004407	1	matched
FBgn0004431	True	True	False	142	dmel-all-translation-r6.67.fasta.gz	translation_parent	FBpp0072533	1	matched
FBgn0004465	True	True	False	417	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004465	1	matched
FBgn0004512	True	True	False	1302	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004512	1	matched
FBgn0004513	True	True	False	1302	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004513	1	matched
FBgn0004514	True	True	False	601	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004514	1	matched
FBgn0004554	True	True	False	159	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004554	1	matched
FBgn0004573	True	True	False	564	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004573	1	matched
FBgn0004574	True	True	False	597	Fly_Essential_genes.xlsx	excel_primary	FBgn0004574	1	matched
FBgn0004575	True	True	False	537	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004575	1	matched
FBgn0004580	True	True	False	310	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004580	1	matched
FBgn0004581	True	True	False	1215	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004581	1	matched
FBgn0004584	True	True	False	679	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004584	1	matched
FBgn0004588	True	True	False	100	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004588	1	matched
FBgn0004590	True	True	False	173	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004590	1	matched
FBgn0004594	True	True	False	98	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004594	1	matched
FBgn0004611	True	True	False	1312	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004611	1	matched
FBgn0004619	True	True	False	991	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004619	1	matched
FBgn0004622	True	True	False	519	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004622	1	matched
FBgn0004623	True	True	False	346	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004623	1	matched
FBgn0004638	True	True	False	211	Fly_Essential_genes.xlsx	excel_primary	FBgn0004638	1	matched
FBgn0004654	True	True	False	481	Fly_Essential_genes.xlsx	excel_primary	FBgn0004654	1	matched
FBgn0004687	True	True	False	147	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004687	1	matched
FBgn0004698	True	True	False	1293	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004698	1	matched
FBgn0004795	True	True	False	904	Fly_Essential_genes.xlsx	excel_primary	FBgn0004795	1	matched
FBgn0004797	True	True	False	565	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004797	1	matched
FBgn0004828	True	True	False	136	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004828	1	matched
FBgn0004832	True	True	False	296	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004832	1	matched
FBgn0004839	True	True	False	1033	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004839	1	matched
FBgn0004841	True	True	False	504	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004841	1	matched
FBgn0004842	True	True	False	518	Fly_NonEssential_genes.xlsx	excel_primary	FBgn0004842	1	matched
