figure_panel	panel_title	stage_order	stage	source_category	subgroup	metric	count_value	regime	source_file	notes
2c_regime_outcome	Label regime comparison and modeling consequence	1	regime_size	label_regime	oldlabel_negative_count	genes	10750	oldlabel	data/processed/essential_gene/fgraminearum/oldlabel/summary.tsv	Processed oldlabel negative size.
2c_regime_outcome	Label regime comparison and modeling consequence	1	regime_size	label_regime	newlabel_positive_count	genes	1097	newlabel	data/processed/essential_gene/fgraminearum/newlabel/summary.tsv	Processed newlabel positive size.
2c_regime_outcome	Label regime comparison and modeling consequence	1	regime_size	label_regime	newlabel_negative_count	genes	10868	newlabel	data/processed/essential_gene/fgraminearum/newlabel/summary.tsv	Processed newlabel negative size.
2c_regime_outcome	Label regime comparison and modeling consequence	2	model_best_auprc	best_combo	GraphSAGE_oldlabel_best_AUPRC	AUPRC	0.18475208002816873	oldlabel	results/Figure2a/Figure2a_best_combo_selection.tsv	Best oldlabel AUPRC for GraphSAGE.
2c_regime_outcome	Label regime comparison and modeling consequence	2	model_best_auprc	best_combo	GraphSAGE_newlabel_best_AUPRC	AUPRC	0.5055624311943065	newlabel	results/Figure2a/Figure2a_best_combo_selection.tsv	Best newlabel AUPRC for GraphSAGE.
2c_regime_outcome	Label regime comparison and modeling consequence	2	model_best_auprc	best_combo	GCN_oldlabel_best_AUPRC	AUPRC	0.20831871018078352	oldlabel	results/Figure2a/Figure2a_best_combo_selection.tsv	Best oldlabel AUPRC for GCN.
2c_regime_outcome	Label regime comparison and modeling consequence	2	model_best_auprc	best_combo	GCN_newlabel_best_AUPRC	AUPRC	0.43590754196980736	newlabel	results/Figure2a/Figure2a_best_combo_selection.tsv	Best newlabel AUPRC for GCN.
2c_regime_outcome	Label regime comparison and modeling consequence	2	model_best_auprc	best_combo	GAT_oldlabel_best_AUPRC	AUPRC	0.18076569132379955	oldlabel	results/Figure2a/Figure2a_best_combo_selection.tsv	Best oldlabel AUPRC for GAT.
2c_regime_outcome	Label regime comparison and modeling consequence	2	model_best_auprc	best_combo	GAT_newlabel_best_AUPRC	AUPRC	0.3264594262326778	newlabel	results/Figure2a/Figure2a_best_combo_selection.tsv	Best newlabel AUPRC for GAT.
2c_regime_outcome	Label regime comparison and modeling consequence	2	model_best_auprc	best_combo	GIN_oldlabel_best_AUPRC	AUPRC	0.17385723452883628	oldlabel	results/Figure2a/Figure2a_best_combo_selection.tsv	Best oldlabel AUPRC for GIN.
2c_regime_outcome	Label regime comparison and modeling consequence	2	model_best_auprc	best_combo	GIN_newlabel_best_AUPRC	AUPRC	0.47640005580381384	newlabel	results/Figure2a/Figure2a_best_combo_selection.tsv	Best newlabel AUPRC for GIN.
2c_regime_outcome	Label regime comparison and modeling consequence	3	matched_setting_delta	aggregate	mean_delta_AUPRC	AUPRC_delta	0.24491165870887804	newlabel_vs_oldlabel	results/Figure2a/Figure2a_old440_vs_newlabel_comparison.tsv	Mean AUPRC gain of newlabel over oldlabel across matched model-feature combinations.
2c_regime_outcome	Label regime comparison and modeling consequence	3	matched_setting_delta	aggregate	mean_delta_MCC	MCC_delta	0.18674146742514783	newlabel_vs_oldlabel	results/Figure2a/Figure2a_old440_vs_newlabel_comparison.tsv	Mean MCC gain of newlabel over oldlabel across matched model-feature combinations.
