Gene,Cytoplasm,Cell membrane,Mitochondrion,Endoplasmic reticulum,Vacuole,Secreted,Nucleus,Peroxisome,Golgi,Endosome,Multi-pass membrane,Cytoskeleton
FGRAMPH1_01G00171,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00173,1,1,1,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00175,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00177,0,1,0,1,1,1,0,0,0,0,0,0
FGRAMPH1_01G00179,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00181,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00183,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00185,0,1,1,0,0,0,0,1,0,0,0,0
FGRAMPH1_01G00187,0,1,0,1,1,0,0,0,1,0,0,0
FGRAMPH1_01G00189,0,0,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00191,0,1,0,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00193,0,1,0,1,0,0,0,0,0,0,1,0
FGRAMPH1_01G00195,0,1,0,1,1,1,0,1,1,0,0,0
FGRAMPH1_01G00197,0,1,0,0,1,1,0,1,0,0,0,0
FGRAMPH1_01G00199,0,1,0,0,1,1,0,0,1,0,0,0
FGRAMPH1_01G00201,0,1,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00203,0,1,0,1,0,0,0,0,1,0,0,0
FGRAMPH1_01G00205,0,0,0,0,0,0,0,1,0,0,0,0
FGRAMPH1_01G00207,0,1,0,0,0,1,0,0,0,1,0,0
FGRAMPH1_01G00209,1,0,0,0,0,1,0,1,0,0,0,0
FGRAMPH1_01G00211,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00213,1,0,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00215,0,1,1,1,0,0,0,0,1,0,1,0
FGRAMPH1_01G00217,0,0,0,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00219,1,0,0,0,1,0,1,0,0,0,0,0
FGRAMPH1_01G00221,0,1,1,1,0,0,0,1,0,1,1,0
FGRAMPH1_01G00223,0,0,0,0,0,0,0,0,1,0,0,0
FGRAMPH1_01G00225,0,1,0,1,0,1,0,0,1,0,0,0
FGRAMPH1_01G00227,0,1,1,0,0,0,0,1,0,1,0,0
FGRAMPH1_01G00229,1,0,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00231,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00233,1,0,1,0,1,0,0,0,0,0,0,0
FGRAMPH1_01G00235,0,1,0,1,1,1,0,0,0,0,1,0
FGRAMPH1_01G00237,1,1,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00239,1,0,0,0,0,0,1,0,1,1,0,0
FGRAMPH1_01G00241,1,0,0,1,0,1,0,0,0,0,0,0
FGRAMPH1_01G00243,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00245,1,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00247,1,0,1,1,1,1,1,0,0,0,0,0
FGRAMPH1_01G00249,0,1,1,1,0,0,0,0,0,0,1,0
FGRAMPH1_01G00251,1,0,1,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00253,0,1,0,1,0,0,0,1,0,0,1,0
FGRAMPH1_01G00255,1,0,0,0,0,0,0,1,1,0,0,0
FGRAMPH1_01G00257,1,0,0,1,0,0,0,1,0,0,0,0
FGRAMPH1_01G00259,0,1,1,1,0,0,0,0,0,0,1,0
FGRAMPH1_01G00261,1,0,0,1,0,0,0,0,1,0,0,0
FGRAMPH1_01G00263,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00265,1,0,0,1,0,1,0,1,0,0,0,0
FGRAMPH1_01G00267,0,0,1,1,0,0,0,1,0,0,0,0
FGRAMPH1_01G00269,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00271,1,0,1,0,0,1,1,1,0,0,0,0
FGRAMPH1_01G00273,1,0,1,1,0,0,0,1,0,0,0,0
FGRAMPH1_01G00275,0,0,0,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00277,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00279,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00281,0,1,0,1,1,0,0,0,1,0,0,0
FGRAMPH1_01G00283,1,1,0,0,0,1,0,0,1,1,0,0
FGRAMPH1_01G00285,1,1,1,1,0,1,0,0,0,1,0,0
FGRAMPH1_01G00287,0,1,0,0,1,1,0,0,0,0,0,0
FGRAMPH1_01G00289,0,0,0,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00291,0,1,0,1,1,1,0,1,0,0,0,0
FGRAMPH1_01G00293,0,1,0,1,1,0,0,0,0,0,0,0
FGRAMPH1_01G00295,0,0,1,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00297,1,0,0,0,1,0,1,0,0,0,0,0
FGRAMPH1_01G00299,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00301,0,1,1,0,0,1,0,1,0,0,0,0
FGRAMPH1_01G00303,0,1,0,1,1,0,0,0,0,0,0,0
FGRAMPH1_01G00305,0,1,0,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00307,1,1,0,0,0,0,0,1,0,0,0,0
FGRAMPH1_01G00309,0,1,1,1,0,0,0,0,0,0,1,0
FGRAMPH1_01G00311,0,1,1,1,0,0,0,0,0,0,1,0
FGRAMPH1_01G00313,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00315,1,0,0,1,1,0,0,0,1,0,0,0
FGRAMPH1_01G00317,1,1,1,0,1,1,0,0,0,0,0,0
FGRAMPH1_01G00319,0,1,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00321,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00323,0,1,1,0,0,1,0,0,1,0,0,0
FGRAMPH1_01G00325,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00327,0,1,0,1,1,1,0,0,1,0,1,0
FGRAMPH1_01G00329,0,0,0,1,1,0,0,0,0,0,0,0
FGRAMPH1_01G00331,0,1,0,1,1,1,0,1,1,0,1,0
FGRAMPH1_01G00333,1,1,0,0,0,0,0,0,1,0,0,0
FGRAMPH1_01G00335,0,0,0,0,1,0,0,0,1,0,0,0
FGRAMPH1_01G00337,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00339,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00341,1,1,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00343,0,0,1,0,0,1,1,0,0,0,0,0
FGRAMPH1_01G00345,0,0,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00347,1,1,0,0,1,0,0,1,0,0,0,0
FGRAMPH1_01G00349,0,0,0,1,1,0,0,1,0,0,0,0
FGRAMPH1_01G00351,1,0,0,0,1,0,0,0,0,0,0,0
FGRAMPH1_01G00353,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00355,0,1,0,1,1,0,0,0,1,0,0,0
FGRAMPH1_01G00357,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00359,0,1,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00361,0,1,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00363,1,0,1,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00365,1,0,1,0,0,0,0,0,0,0,1,0
FGRAMPH1_01G00367,0,1,0,0,0,1,0,1,0,0,0,0
FGRAMPH1_01G00369,0,1,0,0,1,1,0,0,0,0,0,0
FGRAMPH1_01G00371,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00373,0,1,0,1,1,1,0,1,1,0,1,0
FGRAMPH1_01G00375,0,0,1,1,0,0,0,1,1,0,0,0
FGRAMPH1_01G00377,0,0,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00379,1,1,1,0,0,1,1,1,0,0,0,0
FGRAMPH1_01G00381,0,0,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00383,0,0,1,1,0,0,0,1,0,0,0,0
FGRAMPH1_01G00385,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00387,0,1,0,1,0,1,0,0,1,0,0,0
FGRAMPH1_01G00389,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00391,1,0,0,0,1,0,1,0,0,0,0,0
FGRAMPH1_01G00393,1,0,1,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00395,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00397,1,0,0,0,1,0,1,0,0,0,0,0
FGRAMPH1_01G00399,0,0,1,0,1,0,1,1,0,0,0,0
FGRAMPH1_01G00401,0,1,0,1,0,0,0,1,1,0,1,0
FGRAMPH1_01G00403,1,0,0,0,0,0,1,1,0,0,0,0
FGRAMPH1_01G00405,1,0,1,0,0,0,1,1,0,0,1,0
FGRAMPH1_01G00407,0,1,0,1,1,0,0,0,0,0,0,0
FGRAMPH1_01G00409,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00411,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00413,0,0,1,1,1,0,0,0,0,0,1,0
FGRAMPH1_01G00415,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00417,0,1,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00419,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00421,0,1,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00423,0,1,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00425,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00427,0,0,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00429,0,0,0,0,0,1,0,1,0,0,0,0
FGRAMPH1_01G00431,1,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00433,0,0,0,0,1,0,0,1,0,0,0,0
FGRAMPH1_01G00435,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00437,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00439,0,1,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00441,0,1,0,1,0,0,0,1,1,0,0,0
FGRAMPH1_01G00443,1,0,1,1,0,0,0,1,0,1,0,0
FGRAMPH1_01G00445,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00447,0,1,0,0,1,0,0,0,0,0,0,0
FGRAMPH1_01G00449,0,0,0,0,1,0,0,0,1,1,0,0
FGRAMPH1_01G00451,1,0,0,0,0,1,0,1,1,0,0,0
FGRAMPH1_01G00453,0,0,1,0,0,1,0,1,1,0,0,0
FGRAMPH1_01G00455,0,0,1,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00457,1,1,1,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00459,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00461,0,1,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00463,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00465,0,1,0,0,1,0,0,0,0,0,0,0
FGRAMPH1_01G00467,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00469,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00471,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00473,0,1,1,1,0,1,0,0,0,0,0,0
FGRAMPH1_01G00475,0,1,1,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00477,0,0,1,0,0,0,0,1,0,0,0,0
FGRAMPH1_01G00479,1,0,1,0,0,0,0,1,0,0,0,0
FGRAMPH1_01G00481,1,0,1,0,0,0,1,1,0,0,0,0
FGRAMPH1_01G00483,1,0,1,0,0,0,0,0,0,1,0,0
FGRAMPH1_01G00485,1,0,1,0,0,0,1,1,0,0,0,0
FGRAMPH1_01G00487,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00489,0,0,1,0,1,0,0,0,1,0,0,0
FGRAMPH1_01G00491,1,0,0,0,1,0,0,0,1,0,0,0
FGRAMPH1_01G00493,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00495,0,0,0,1,0,1,0,0,0,0,0,0
FGRAMPH1_01G00497,0,1,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00499,1,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00501,0,1,1,1,1,0,0,0,1,0,0,0
FGRAMPH1_01G00503,0,1,0,1,1,1,0,0,0,1,0,0
FGRAMPH1_01G00505,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00507,0,0,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00509,0,1,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00511,1,0,1,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00513,0,1,0,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00515,0,0,1,1,1,1,0,0,0,0,0,0
FGRAMPH1_01G00517,0,0,0,0,0,0,0,0,1,0,0,0
FGRAMPH1_01G00519,0,1,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00521,0,0,0,0,1,1,0,0,0,0,0,0
FGRAMPH1_01G00523,1,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00525,1,1,0,1,0,0,1,0,0,0,0,0
FGRAMPH1_01G00527,0,1,0,1,0,1,0,0,1,0,1,0
FGRAMPH1_01G00529,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00531,0,1,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00533,0,1,0,1,0,1,0,0,1,0,1,0
FGRAMPH1_01G00535,0,0,0,0,1,0,0,1,1,0,0,0
FGRAMPH1_01G00537,0,0,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00539,1,0,1,1,0,1,0,1,0,0,0,0
FGRAMPH1_01G00541,0,1,0,1,1,0,0,0,0,0,0,0
FGRAMPH1_01G00543,1,0,0,0,1,0,0,0,0,1,0,0
FGRAMPH1_01G00545,0,0,1,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00547,0,1,1,0,1,0,0,0,0,0,0,0
FGRAMPH1_01G00549,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00551,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00553,1,1,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00555,0,1,0,1,0,1,0,0,1,0,0,0
FGRAMPH1_01G00557,0,0,1,0,1,0,0,1,0,0,0,0
FGRAMPH1_01G00559,1,1,1,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00561,0,0,0,1,0,0,0,0,0,0,1,0
FGRAMPH1_01G00563,1,0,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00565,0,1,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00567,0,1,0,1,1,1,0,0,0,0,0,0
FGRAMPH1_01G00569,1,1,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00571,0,1,0,1,0,0,0,0,0,0,1,0
FGRAMPH1_01G00573,0,0,0,1,0,0,1,0,0,0,0,0
FGRAMPH1_01G00575,1,0,1,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00577,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00579,0,0,0,0,0,0,0,0,1,0,0,0
FGRAMPH1_01G00581,1,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00583,0,0,0,0,1,0,1,0,0,0,0,1
FGRAMPH1_01G00585,1,0,0,0,0,0,0,1,0,0,0,0
FGRAMPH1_01G00587,0,1,1,1,0,0,0,0,0,0,1,0
FGRAMPH1_01G00589,0,1,0,1,0,1,0,0,1,0,0,0
FGRAMPH1_01G00591,1,0,0,0,1,1,0,0,0,0,0,0
FGRAMPH1_01G00593,1,0,0,0,0,0,0,0,1,0,0,0
FGRAMPH1_01G00595,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00597,0,0,1,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00599,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00601,0,0,1,0,0,0,0,1,0,0,0,0
FGRAMPH1_01G00603,0,1,0,1,0,0,0,0,0,0,1,0
FGRAMPH1_01G00605,0,0,0,0,1,0,1,0,0,1,0,0
FGRAMPH1_01G00607,0,1,0,1,1,1,0,0,0,0,0,0
FGRAMPH1_01G00609,1,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00611,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00613,0,1,1,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00615,0,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00617,0,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00619,1,0,1,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00621,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00623,1,0,0,0,0,0,0,0,1,0,0,0
FGRAMPH1_01G00625,1,0,0,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00627,0,1,1,0,1,0,0,0,0,0,0,0
FGRAMPH1_01G00629,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00631,1,0,1,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00633,1,0,0,0,1,0,0,0,0,0,0,0
FGRAMPH1_01G00635,1,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00637,0,0,1,1,1,0,0,0,0,0,0,0
FGRAMPH1_01G00639,1,0,0,0,0,0,0,1,1,1,0,0
FGRAMPH1_01G00641,1,0,1,0,0,1,0,1,0,0,0,0
FGRAMPH1_01G00643,1,1,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00645,0,0,1,0,0,1,0,1,0,0,0,0
FGRAMPH1_01G00647,0,0,1,0,1,1,0,1,0,0,0,0
FGRAMPH1_01G00649,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00651,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00653,0,0,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00655,0,0,0,0,1,1,0,0,1,0,0,0
FGRAMPH1_01G00657,1,1,0,0,0,0,0,0,1,1,0,0
FGRAMPH1_01G00659,1,0,0,0,1,0,1,0,0,0,0,0
FGRAMPH1_01G00661,0,0,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00663,0,1,0,0,1,0,0,1,0,0,0,0
FGRAMPH1_01G00665,0,0,0,1,0,0,0,1,0,0,0,0
FGRAMPH1_01G00667,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00669,0,0,0,1,1,0,0,0,0,0,0,0
FGRAMPH1_01G00671,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00673,0,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00675,0,0,1,1,0,1,0,0,0,0,0,0
FGRAMPH1_01G00677,1,0,0,0,1,0,0,1,0,0,0,0
FGRAMPH1_01G00679,1,1,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00681,0,1,0,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00683,0,0,0,1,1,0,0,0,0,0,0,0
FGRAMPH1_01G00685,0,1,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00687,0,1,1,0,0,1,0,1,0,0,0,0
FGRAMPH1_01G00689,0,0,0,0,1,0,0,0,0,0,0,0
FGRAMPH1_01G00691,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00693,0,1,0,1,0,1,0,0,1,0,1,0
FGRAMPH1_01G00695,0,0,0,0,1,1,1,0,0,0,0,0
FGRAMPH1_01G00697,1,0,1,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00699,0,1,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00701,1,0,0,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00703,0,0,1,0,0,0,0,0,1,0,0,0
FGRAMPH1_01G00705,0,0,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00707,0,0,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00709,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00711,1,1,0,0,1,0,0,0,1,0,0,0
FGRAMPH1_01G00713,0,0,0,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00715,0,1,1,1,1,0,0,1,1,0,0,0
FGRAMPH1_01G00717,0,1,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00719,1,1,0,0,0,0,1,1,0,0,0,0
FGRAMPH1_01G00721,0,0,0,0,1,0,1,0,0,0,0,0
FGRAMPH1_01G00723,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00725,0,1,1,0,0,1,0,1,1,0,0,0
