gene_id	in_labels	source_occurrences	source_files	sequence_length	unique_sequences	in_fasta_source	duplicate_source_id	status
S000000064	True	1	SC_NE_genes.xlsx	426	1	True	False	matched
S000000065	True	1	SC_E_genes.xlsx	621	1	True	False	matched
S000000066	True	1	SC_E_genes.xlsx	275	1	True	False	matched
S000000067	True	1	SC_NE_genes.xlsx	1196	1	True	False	matched
S000000068	True	1	SC_NE_genes.xlsx	440	1	True	False	matched
S000000069	True	1	SC_NE_genes.xlsx	709	1	True	False	matched
S000000070	True	1	SC_NE_genes.xlsx	306	1	True	False	matched
S000000071	True	1	SC_NE_genes.xlsx	435	1	True	False	matched
S000000072	True	1	SC_E_genes.xlsx	974	1	True	False	matched
S000000073	True	1	SC_NE_genes.xlsx	55	1	True	False	matched
S000000074	True	1	SC_NE_genes.xlsx	179	1	True	False	matched
S000000075	True	1	SC_NE_genes.xlsx	235	1	True	False	matched
S000000076	True	1	SC_NE_genes.xlsx	234	1	True	False	matched
S000000077	True	1	SC_NE_genes.xlsx	74	1	True	False	matched
S000000078	True	1	SC_NE_genes.xlsx	298	1	True	False	matched
S000000080	True	1	SC_NE_genes.xlsx	687	1	True	False	matched
S000000081	True	1	SC_NE_genes.xlsx	1188	1	True	False	matched
S000000084	True	1	SC_NE_genes.xlsx	1537	1	True	False	matched
S000000097	True	1	SC_NE_genes.xlsx	104	1	True	False	matched
S000000098	True	1	SC_NE_genes.xlsx	131	1	True	False	matched
S000000099	True	1	SC_NE_genes.xlsx	132	1	True	False	matched
S000000100	True	1	SC_E_genes.xlsx	2493	1	True	False	matched
S000000101	True	1	SC_NE_genes.xlsx	976	1	True	False	matched
S000000102	True	1	SC_NE_genes.xlsx	180	1	True	False	matched
S000000103	True	1	SC_NE_genes.xlsx	1244	1	True	False	matched
S000000104	True	1	SC_NE_genes.xlsx	840	1	True	False	matched
S000000105	True	1	SC_NE_genes.xlsx	676	1	True	False	matched
S000000106	True	1	SC_NE_genes.xlsx	280	1	True	False	matched
S000000107	True	1	SC_NE_genes.xlsx	759	1	True	False	matched
S000000109	True	1	SC_NE_genes.xlsx	401	1	True	False	matched
S000000110	True	1	SC_E_genes.xlsx	894	1	True	False	matched
S000000111	True	1	SC_NE_genes.xlsx	526	1	True	False	matched
S000000112	True	1	SC_NE_genes.xlsx	353	1	True	False	matched
S000000113	True	1	SC_NE_genes.xlsx	1579	1	True	False	matched
S000000114	True	1	SC_E_genes.xlsx	133	1	True	False	matched
S000000115	True	1	SC_NE_genes.xlsx	520	1	True	False	matched
S000000116	True	1	SC_E_genes.xlsx	574	1	True	False	matched
S000000117	True	1	SC_NE_genes.xlsx	144	1	True	False	matched
S000000118	True	1	SC_NE_genes.xlsx	1133	1	True	False	matched
S000000119	True	1	SC_E_genes.xlsx	868	1	True	False	matched
S000000120	True	1	SC_NE_genes.xlsx	684	1	True	False	matched
S000000121	True	1	SC_NE_genes.xlsx	145	1	True	False	matched
S000000122	True	1	SC_E_genes.xlsx	95	1	True	False	matched
S000000123	True	1	SC_NE_genes.xlsx	189	1	True	False	matched
S000000124	True	1	SC_NE_genes.xlsx	106	1	True	False	matched
S000000125	True	1	SC_NE_genes.xlsx	376	1	True	False	matched
S000000126	True	1	SC_E_genes.xlsx	318	1	True	False	matched
S000000127	True	1	SC_NE_genes.xlsx	338	1	True	False	matched
S000000128	True	1	SC_NE_genes.xlsx	381	1	True	False	matched
S000000129	True	1	SC_NE_genes.xlsx	345	1	True	False	matched
S000000130	True	1	SC_E_genes.xlsx	1513	1	True	False	matched
S000000131	True	1	SC_E_genes.xlsx	705	1	True	False	matched
S000000132	True	1	SC_NE_genes.xlsx	257	1	True	False	matched
S000000133	True	1	SC_NE_genes.xlsx	1025	1	True	False	matched
S000000134	True	1	SC_NE_genes.xlsx	232	1	True	False	matched
S000000135	True	1	SC_NE_genes.xlsx	579	1	True	False	matched
S000000136	True	1	SC_E_genes.xlsx	219	1	True	False	matched
S000000137	True	1	SC_E_genes.xlsx	241	1	True	False	matched
S000000138	True	1	SC_NE_genes.xlsx	639	1	True	False	matched
S000000139	True	1	SC_NE_genes.xlsx	257	1	True	False	matched
S000000140	True	1	SC_NE_genes.xlsx	122	1	True	False	matched
S000000141	True	1	SC_NE_genes.xlsx	457	1	True	False	matched
S000000142	True	1	SC_NE_genes.xlsx	441	1	True	False	matched
S000000143	True	1	SC_NE_genes.xlsx	1381	1	True	False	matched
S000000145	True	1	SC_NE_genes.xlsx	138	1	True	False	matched
S000000146	True	1	SC_E_genes.xlsx	292	1	True	False	matched
S000000147	True	1	SC_NE_genes.xlsx	668	1	True	False	matched
S000000148	True	1	SC_NE_genes.xlsx	831	1	True	False	matched
S000000150	True	1	SC_NE_genes.xlsx	525	1	True	False	matched
S000000151	True	1	SC_NE_genes.xlsx	418	1	True	False	matched
S000000152	True	1	SC_NE_genes.xlsx	468	1	True	False	matched
S000000153	True	1	SC_NE_genes.xlsx	208	1	True	False	matched
S000000154	True	1	SC_NE_genes.xlsx	423	1	True	False	matched
S000000155	True	1	SC_NE_genes.xlsx	193	1	True	False	matched
S000000156	True	1	SC_NE_genes.xlsx	687	1	True	False	matched
S000000157	True	1	SC_NE_genes.xlsx	696	1	True	False	matched
S000000159	True	1	SC_NE_genes.xlsx	1111	1	True	False	matched
S000000160	True	1	SC_NE_genes.xlsx	261	1	True	False	matched
S000000162	True	1	SC_NE_genes.xlsx	1148	1	True	False	matched
S000000163	True	1	SC_NE_genes.xlsx	747	1	True	False	matched
S000000164	True	1	SC_NE_genes.xlsx	326	1	True	False	matched
S000000165	True	1	SC_NE_genes.xlsx	429	1	True	False	matched
S000000168	True	1	SC_NE_genes.xlsx	200	1	True	False	matched
S000000170	True	1	SC_E_genes.xlsx	355	1	True	False	matched
S000000171	True	1	SC_NE_genes.xlsx	649	1	True	False	matched
S000000172	True	1	SC_E_genes.xlsx	1072	1	True	False	matched
S000000174	True	1	SC_NE_genes.xlsx	117	1	True	False	matched
S000000175	True	1	SC_NE_genes.xlsx	1502	1	True	False	matched
S000000176	True	1	SC_NE_genes.xlsx	541	1	True	False	matched
S000000177	True	1	SC_NE_genes.xlsx	368	1	True	False	matched
S000000178	True	1	SC_NE_genes.xlsx	458	1	True	False	matched
S000000180	True	1	SC_E_genes.xlsx	758	1	True	False	matched
S000000181	True	1	SC_NE_genes.xlsx	980	1	True	False	matched
S000000182	True	1	SC_NE_genes.xlsx	466	1	True	False	matched
S000000183	True	1	SC_NE_genes.xlsx	137	1	True	False	matched
S000000184	True	1	SC_NE_genes.xlsx	2787	1	True	False	matched
S000000185	True	1	SC_NE_genes.xlsx	459	1	True	False	matched
S000000186	True	1	SC_NE_genes.xlsx	177	1	True	False	matched
S000000187	True	1	SC_NE_genes.xlsx	421	1	True	False	matched
S000000188	True	1	SC_E_genes.xlsx	130	1	True	False	matched
S000000189	True	1	SC_NE_genes.xlsx	220	1	True	False	matched
S000000191	True	1	SC_NE_genes.xlsx	270	1	True	False	matched
S000000193	True	1	SC_E_genes.xlsx	754	1	True	False	matched
S000000194	True	1	SC_NE_genes.xlsx	460	1	True	False	matched
S000000195	True	1	SC_NE_genes.xlsx	545	1	True	False	matched
S000000197	True	1	SC_NE_genes.xlsx	1117	1	True	False	matched
S000000198	True	1	SC_NE_genes.xlsx	215	1	True	False	matched
S000000199	True	1	SC_NE_genes.xlsx	486	1	True	False	matched
S000000200	True	1	SC_NE_genes.xlsx	1038	1	True	False	matched
S000000201	True	1	SC_E_genes.xlsx	1151	1	True	False	matched
S000000202	True	1	SC_NE_genes.xlsx	1010	1	True	False	matched
S000000203	True	1	SC_NE_genes.xlsx	196	1	True	False	matched
S000000205	True	1	SC_NE_genes.xlsx	780	1	True	False	matched
S000000206	True	1	SC_E_genes.xlsx	286	1	True	False	matched
S000000207	True	1	SC_NE_genes.xlsx	473	1	True	False	matched
S000000208	True	1	SC_E_genes.xlsx	433	1	True	False	matched
S000000209	True	1	SC_NE_genes.xlsx	213	1	True	False	matched
S000000210	True	1	SC_NE_genes.xlsx	497	1	True	False	matched
S000000211	True	1	SC_NE_genes.xlsx	736	1	True	False	matched
S000000212	True	1	SC_NE_genes.xlsx	548	1	True	False	matched
S000000215	True	1	SC_E_genes.xlsx	287	1	True	False	matched
S000000217	True	1	SC_NE_genes.xlsx	129	1	True	False	matched
S000000218	True	1	SC_NE_genes.xlsx	203	1	True	False	matched
S000000219	True	1	SC_NE_genes.xlsx	597	1	True	False	matched
S000000220	True	1	SC_NE_genes.xlsx	128	1	True	False	matched
S000000221	True	1	SC_NE_genes.xlsx	918	1	True	False	matched
S000000222	True	1	SC_NE_genes.xlsx	366	1	True	False	matched
S000000223	True	1	SC_NE_genes.xlsx	699	1	True	False	matched
S000000224	True	1	SC_NE_genes.xlsx	528	1	True	False	matched
S000000225	True	1	SC_NE_genes.xlsx	633	1	True	False	matched
S000000226	True	1	SC_NE_genes.xlsx	177	1	True	False	matched
S000000227	True	1	SC_NE_genes.xlsx	1165	1	True	False	matched
S000000228	True	1	SC_NE_genes.xlsx	301	1	True	False	matched
S000000229	True	1	SC_NE_genes.xlsx	394	1	True	False	matched
S000000230	True	1	SC_NE_genes.xlsx	380	1	True	False	matched
S000000232	True	1	SC_NE_genes.xlsx	525	1	True	False	matched
S000000233	True	1	SC_E_genes.xlsx	457	1	True	False	matched
S000000234	True	1	SC_NE_genes.xlsx	552	1	True	False	matched
S000000235	True	1	SC_NE_genes.xlsx	362	1	True	False	matched
S000000237	True	1	SC_NE_genes.xlsx	919	1	True	False	matched
S000000238	True	1	SC_NE_genes.xlsx	348	1	True	False	matched
S000000239	True	1	SC_NE_genes.xlsx	228	1	True	False	matched
S000000240	True	1	SC_NE_genes.xlsx	410	1	True	False	matched
S000000241	True	1	SC_NE_genes.xlsx	295	1	True	False	matched
S000000242	True	1	SC_E_genes.xlsx	963	1	True	False	matched
S000000243	True	1	SC_NE_genes.xlsx	311	1	True	False	matched
S000000244	True	1	SC_NE_genes.xlsx	298	1	True	False	matched
S000000245	True	1	SC_NE_genes.xlsx	669	1	True	False	matched
S000000246	True	1	SC_NE_genes.xlsx	397	1	True	False	matched
S000000247	True	1	SC_NE_genes.xlsx	689	1	True	False	matched
S000000248	True	1	SC_NE_genes.xlsx	572	1	True	False	matched
S000000249	True	1	SC_NE_genes.xlsx	639	1	True	False	matched
S000000250	True	1	SC_NE_genes.xlsx	334	1	True	False	matched
S000000251	True	1	SC_NE_genes.xlsx	175	1	True	False	matched
S000000252	True	1	SC_NE_genes.xlsx	156	1	True	False	matched
S000000253	True	1	SC_E_genes.xlsx	810	1	True	False	matched
S000000254	True	1	SC_NE_genes.xlsx	338	1	True	False	matched
S000000256	True	1	SC_NE_genes.xlsx	210	1	True	False	matched
S000000257	True	1	SC_NE_genes.xlsx	358	1	True	False	matched
S000000258	True	1	SC_NE_genes.xlsx	344	1	True	False	matched
S000000259	True	1	SC_E_genes.xlsx	899	1	True	False	matched
S000000260	True	1	SC_NE_genes.xlsx	501	1	True	False	matched
S000000261	True	1	SC_NE_genes.xlsx	366	1	True	False	matched
S000000262	True	1	SC_NE_genes.xlsx	781	1	True	False	matched
S000000263	True	1	SC_NE_genes.xlsx	1108	1	True	False	matched
S000000264	True	1	SC_E_genes.xlsx	620	1	True	False	matched
S000000265	True	1	SC_NE_genes.xlsx	310	1	True	False	matched
S000000266	True	1	SC_NE_genes.xlsx	180	1	True	False	matched
S000000267	True	1	SC_NE_genes.xlsx	404	1	True	False	matched
S000000269	True	1	SC_NE_genes.xlsx	364	1	True	False	matched
S000000270	True	1	SC_NE_genes.xlsx	220	1	True	False	matched
S000000271	True	1	SC_NE_genes.xlsx	210	1	True	False	matched
S000000272	True	1	SC_NE_genes.xlsx	609	1	True	False	matched
S000000273	True	1	SC_NE_genes.xlsx	619	1	True	False	matched
S000000274	True	1	SC_E_genes.xlsx	237	1	True	False	matched
S000000275	True	1	SC_NE_genes.xlsx	211	1	True	False	matched
S000000276	True	1	SC_NE_genes.xlsx	214	1	True	False	matched
S000000277	True	1	SC_NE_genes.xlsx	958	1	True	False	matched
S000000278	True	1	SC_NE_genes.xlsx	976	1	True	False	matched
S000000280	True	1	SC_NE_genes.xlsx	354	1	True	False	matched
S000000281	True	1	SC_NE_genes.xlsx	162	1	True	False	matched
S000000282	True	1	SC_NE_genes.xlsx	429	1	True	False	matched
S000000283	True	1	SC_E_genes.xlsx	964	1	True	False	matched
S000000284	True	1	SC_E_genes.xlsx	758	1	True	False	matched
S000000285	True	1	SC_NE_genes.xlsx	1332	1	True	False	matched
S000000286	True	1	SC_NE_genes.xlsx	148	1	True	False	matched
S000000287	True	1	SC_NE_genes.xlsx	486	1	True	False	matched
S000000288	True	1	SC_NE_genes.xlsx	975	1	True	False	matched
S000000289	True	1	SC_NE_genes.xlsx	307	1	True	False	matched
S000000290	True	1	SC_NE_genes.xlsx	946	1	True	False	matched
S000000291	True	1	SC_E_genes.xlsx	354	1	True	False	matched
S000000292	True	1	SC_E_genes.xlsx	258	1	True	False	matched
S000000294	True	1	SC_NE_genes.xlsx	122	1	True	False	matched
S000000295	True	1	SC_E_genes.xlsx	109	1	True	False	matched
S000000296	True	1	SC_NE_genes.xlsx	467	1	True	False	matched
S000000297	True	1	SC_NE_genes.xlsx	467	1	True	False	matched
S000000298	True	1	SC_NE_genes.xlsx	753	1	True	False	matched
S000000299	True	1	SC_NE_genes.xlsx	430	1	True	False	matched
S000000300	True	1	SC_NE_genes.xlsx	230	1	True	False	matched
S000000301	True	1	SC_NE_genes.xlsx	1454	1	True	False	matched
S000000302	True	1	SC_NE_genes.xlsx	691	1	True	False	matched
S000000305	True	1	SC_NE_genes.xlsx	290	1	True	False	matched
S000000306	True	1	SC_E_genes.xlsx	753	1	True	False	matched
S000000307	True	1	SC_NE_genes.xlsx	535	1	True	False	matched
S000000308	True	1	SC_NE_genes.xlsx	329	1	True	False	matched
S000000309	True	1	SC_NE_genes.xlsx	362	1	True	False	matched
S000000310	True	1	SC_NE_genes.xlsx	188	1	True	False	matched
S000000311	True	1	SC_NE_genes.xlsx	245	1	True	False	matched
S000000312	True	1	SC_NE_genes.xlsx	947	1	True	False	matched
S000000313	True	1	SC_E_genes.xlsx	147	1	True	False	matched
S000000314	True	1	SC_E_genes.xlsx	449	1	True	False	matched
S000000315	True	1	SC_NE_genes.xlsx	231	1	True	False	matched
S000000316	True	1	SC_NE_genes.xlsx	966	1	True	False	matched
S000000318	True	1	SC_NE_genes.xlsx	790	1	True	False	matched
S000000319	True	1	SC_NE_genes.xlsx	1392	1	True	False	matched
S000000321	True	1	SC_NE_genes.xlsx	681	1	True	False	matched
S000000323	True	1	SC_NE_genes.xlsx	298	1	True	False	matched
S000000324	True	1	SC_NE_genes.xlsx	162	1	True	False	matched
S000000325	True	1	SC_NE_genes.xlsx	690	1	True	False	matched
S000000326	True	1	SC_NE_genes.xlsx	177	1	True	False	matched
S000000327	True	1	SC_E_genes.xlsx	649	1	True	False	matched
S000000329	True	1	SC_NE_genes.xlsx	393	1	True	False	matched
S000000330	True	1	SC_NE_genes.xlsx	495	1	True	False	matched
S000000331	True	1	SC_NE_genes.xlsx	517	1	True	False	matched
S000000332	True	1	SC_NE_genes.xlsx	344	1	True	False	matched
S000000333	True	1	SC_NE_genes.xlsx	328	1	True	False	matched
S000000334	True	1	SC_NE_genes.xlsx	425	1	True	False	matched
S000000335	True	1	SC_NE_genes.xlsx	704	1	True	False	matched
S000000336	True	1	SC_NE_genes.xlsx	596	1	True	False	matched
S000000337	True	1	SC_NE_genes.xlsx	827	1	True	False	matched
S000000339	True	1	SC_E_genes.xlsx	150	1	True	False	matched
S000000340	True	1	SC_E_genes.xlsx	2368	1	True	False	matched
S000000341	True	1	SC_NE_genes.xlsx	179	1	True	False	matched
S000000342	True	1	SC_NE_genes.xlsx	524	1	True	False	matched
S000000343	True	1	SC_NE_genes.xlsx	508	1	True	False	matched
S000000344	True	1	SC_E_genes.xlsx	3092	1	True	False	matched
S000000345	True	1	SC_NE_genes.xlsx	337	1	True	False	matched
S000000346	True	1	SC_E_genes.xlsx	773	1	True	False	matched
S000000347	True	1	SC_E_genes.xlsx	437	1	True	False	matched
S000000349	True	1	SC_NE_genes.xlsx	351	1	True	False	matched
S000000350	True	1	SC_NE_genes.xlsx	278	1	True	False	matched
S000000351	True	1	SC_NE_genes.xlsx	296	1	True	False	matched
S000000352	True	1	SC_NE_genes.xlsx	609	1	True	False	matched
S000000353	True	1	SC_NE_genes.xlsx	344	1	True	False	matched
S000000354	True	1	SC_NE_genes.xlsx	1094	1	True	False	matched
S000000355	True	1	SC_NE_genes.xlsx	316	1	True	False	matched
S000000356	True	1	SC_E_genes.xlsx	291	1	True	False	matched
S000000357	True	1	SC_E_genes.xlsx	244	1	True	False	matched
S000000358	True	1	SC_E_genes.xlsx	215	1	True	False	matched
S000000359	True	1	SC_E_genes.xlsx	385	1	True	False	matched
S000000360	True	1	SC_NE_genes.xlsx	698	1	True	False	matched
S000000361	True	1	SC_NE_genes.xlsx	255	1	True	False	matched
S000000362	True	1	SC_NE_genes.xlsx	549	1	True	False	matched
S000000363	True	1	SC_NE_genes.xlsx	347	1	True	False	matched
S000000364	True	1	SC_E_genes.xlsx	298	1	True	False	matched
S000000365	True	1	SC_NE_genes.xlsx	376	1	True	False	matched
S000000366	True	1	SC_NE_genes.xlsx	455	1	True	False	matched
S000000367	True	1	SC_NE_genes.xlsx	585	1	True	False	matched
S000000368	True	1	SC_NE_genes.xlsx	183	1	True	False	matched
S000000369	True	1	SC_NE_genes.xlsx	277	1	True	False	matched
S000000370	True	1	SC_NE_genes.xlsx	452	1	True	False	matched
S000000371	True	1	SC_E_genes.xlsx	140	1	True	False	matched
S000000372	True	1	SC_NE_genes.xlsx	413	1	True	False	matched
S000000373	True	1	SC_NE_genes.xlsx	693	1	True	False	matched
S000000374	True	1	SC_NE_genes.xlsx	580	1	True	False	matched
S000000375	True	1	SC_NE_genes.xlsx	206	1	True	False	matched
S000000376	True	1	SC_NE_genes.xlsx	740	1	True	False	matched
S000000377	True	1	SC_NE_genes.xlsx	148	1	True	False	matched
S000000379	True	1	SC_NE_genes.xlsx	315	1	True	False	matched
S000000380	True	1	SC_NE_genes.xlsx	312	1	True	False	matched
S000000381	True	1	SC_NE_genes.xlsx	451	1	True	False	matched
S000000383	True	1	SC_NE_genes.xlsx	855	1	True	False	matched
S000000384	True	1	SC_NE_genes.xlsx	572	1	True	False	matched
S000000385	True	1	SC_NE_genes.xlsx	236	1	True	False	matched
S000000386	True	1	SC_NE_genes.xlsx	452	1	True	False	matched
S000000387	True	1	SC_NE_genes.xlsx	316	1	True	False	matched
S000000388	True	1	SC_NE_genes.xlsx	523	1	True	False	matched
S000000389	True	1	SC_NE_genes.xlsx	278	1	True	False	matched
S000000390	True	1	SC_NE_genes.xlsx	564	1	True	False	matched
S000000391	True	1	SC_NE_genes.xlsx	280	1	True	False	matched
S000000392	True	1	SC_NE_genes.xlsx	140	1	True	False	matched
S000000393	True	1	SC_NE_genes.xlsx	195	1	True	False	matched
S000000395	True	1	SC_NE_genes.xlsx	160	1	True	False	matched
S000000396	True	1	SC_E_genes.xlsx	377	1	True	False	matched
S000000397	True	1	SC_E_genes.xlsx	223	1	True	False	matched
S000000398	True	1	SC_NE_genes.xlsx	123	1	True	False	matched
S000000399	True	1	SC_NE_genes.xlsx	422	1	True	False	matched
S000000400	True	1	SC_E_genes.xlsx	554	1	True	False	matched
S000000401	True	1	SC_NE_genes.xlsx	217	1	True	False	matched
S000000402	True	1	SC_E_genes.xlsx	798	1	True	False	matched
S000000403	True	1	SC_NE_genes.xlsx	464	1	True	False	matched
S000000404	True	1	SC_NE_genes.xlsx	551	1	True	False	matched
S000000405	True	1	SC_NE_genes.xlsx	211	1	True	False	matched
S000000406	True	1	SC_E_genes.xlsx	845	1	True	False	matched
S000000407	True	1	SC_NE_genes.xlsx	924	1	True	False	matched
S000000408	True	1	SC_NE_genes.xlsx	375	1	True	False	matched
S000000409	True	1	SC_NE_genes.xlsx	404	1	True	False	matched
S000000411	True	1	SC_NE_genes.xlsx	465	1	True	False	matched
S000000412	True	1	SC_NE_genes.xlsx	1835	1	True	False	matched
S000000414	True	1	SC_NE_genes.xlsx	142	1	True	False	matched
S000000415	True	1	SC_E_genes.xlsx	324	1	True	False	matched
S000000416	True	1	SC_NE_genes.xlsx	672	1	True	False	matched
S000000417	True	1	SC_NE_genes.xlsx	274	1	True	False	matched
S000000418	True	1	SC_NE_genes.xlsx	527	1	True	False	matched
S000000419	True	1	SC_NE_genes.xlsx	625	1	True	False	matched
S000000420	True	1	SC_NE_genes.xlsx	674	1	True	False	matched
S000000421	True	1	SC_NE_genes.xlsx	186	1	True	False	matched
S000000422	True	1	SC_NE_genes.xlsx	1180	1	True	False	matched
S000000423	True	1	SC_NE_genes.xlsx	127	1	True	False	matched
S000000424	True	1	SC_NE_genes.xlsx	560	1	True	False	matched
S000000425	True	1	SC_NE_genes.xlsx	366	1	True	False	matched
S000000426	True	1	SC_NE_genes.xlsx	543	1	True	False	matched
S000000427	True	1	SC_NE_genes.xlsx	544	1	True	False	matched
S000000429	True	1	SC_NE_genes.xlsx	900	1	True	False	matched
S000000431	True	1	SC_NE_genes.xlsx	520	1	True	False	matched
S000000432	True	1	SC_NE_genes.xlsx	304	1	True	False	matched
S000000433	True	1	SC_NE_genes.xlsx	954	1	True	False	matched
S000000434	True	1	SC_NE_genes.xlsx	134	1	True	False	matched
S000000435	True	1	SC_NE_genes.xlsx	303	1	True	False	matched
S000000437	True	1	SC_NE_genes.xlsx	413	1	True	False	matched
S000000438	True	1	SC_E_genes.xlsx	384	1	True	False	matched
S000000439	True	1	SC_NE_genes.xlsx	1120	1	True	False	matched
S000000440	True	1	SC_E_genes.xlsx	436	1	True	False	matched
S000000441	True	1	SC_E_genes.xlsx	849	1	True	False	matched
S000000442	True	1	SC_NE_genes.xlsx	731	1	True	False	matched
S000000443	True	1	SC_NE_genes.xlsx	529	1	True	False	matched
S000000444	True	1	SC_NE_genes.xlsx	450	1	True	False	matched
S000000445	True	1	SC_NE_genes.xlsx	488	1	True	False	matched
S000000446	True	1	SC_NE_genes.xlsx	238	1	True	False	matched
S000000447	True	1	SC_E_genes.xlsx	448	1	True	False	matched
S000000448	True	1	SC_NE_genes.xlsx	162	1	True	False	matched
S000000449	True	1	SC_NE_genes.xlsx	1129	1	True	False	matched
S000000450	True	1	SC_NE_genes.xlsx	387	1	True	False	matched
S000000451	True	1	SC_E_genes.xlsx	483	1	True	False	matched
S000000452	True	1	SC_NE_genes.xlsx	552	1	True	False	matched
S000000453	True	1	SC_NE_genes.xlsx	370	1	True	False	matched
S000000454	True	1	SC_NE_genes.xlsx	523	1	True	False	matched
S000000455	True	1	SC_NE_genes.xlsx	307	1	True	False	matched
S000000456	True	1	SC_E_genes.xlsx	147	1	True	False	matched
S000000457	True	1	SC_E_genes.xlsx	121	1	True	False	matched
S000000458	True	1	SC_E_genes.xlsx	175	1	True	False	matched
S000000459	True	1	SC_NE_genes.xlsx	694	1	True	False	matched
S000000460	True	1	SC_E_genes.xlsx	238	1	True	False	matched
S000000461	True	1	SC_E_genes.xlsx	279	1	True	False	matched
S000000462	True	1	SC_NE_genes.xlsx	142	1	True	False	matched
S000000463	True	1	SC_NE_genes.xlsx	688	1	True	False	matched
S000000464	True	1	SC_NE_genes.xlsx	666	1	True	False	matched
S000000465	True	1	SC_NE_genes.xlsx	232	1	True	False	matched
S000000466	True	1	SC_NE_genes.xlsx	106	1	True	False	matched
S000000467	True	1	SC_NE_genes.xlsx	490	1	True	False	matched
S000000468	True	1	SC_NE_genes.xlsx	199	1	True	False	matched
