model	family	workflow	entrypoint	feature_setting	protocol_scope	split_source	output_root	aggregation_style	parity_status	notes
NB	tabular	frozen_protocol	src.train.run_frozen_protocol_model	ORT_EXP_SUB	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/frozen_protocol_benchmark_v2	protocol/model/feature/run_seed aggregated by src.eval.aggregate_frozen_protocol_runs	authoritative	Uses frozen loader, explicit protocol, frozen summary schema.
NB	tabular	classical_post_refactor	src.train.run_frozen_protocol_model	ORT_EXP_SUB	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/classical_baseline_benchmark_v2	protocol/model/feature/run_seed aggregated by src.eval.aggregate_frozen_protocol_runs	identical	Classical now delegates to frozen implementation and differs only by subset output root.
N2V_MLP	node2vec	classical_pre_refactor	src.train.run_classical_baseline_single	N2V	human;celegans;scerevisiae;fgraminearum	ad hoc build_epgat_legacy_dataset split; Fusarium new_label generated by prepare_phase2b_new_labels	outputs/classical_baseline_benchmark	species/method/feature/run_id aggregated by src.eval.aggregate_classical_baselines	inconsistent_benchmark_breaking	Legacy 4-species scope, implicit Fusarium regime, 3 run_ids, no node2vec_backend config passed.
N2V_MLP	node2vec	frozen_protocol	src.train.run_frozen_protocol_model	N2V	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/frozen_protocol_benchmark_v2	protocol/model/feature/run_seed aggregated by src.eval.aggregate_frozen_protocol_runs	authoritative	Uses frozen loader, explicit protocol, frozen summary schema, node2vec_backend=auto.
N2V_MLP	node2vec	classical_post_refactor	src.train.run_frozen_protocol_model	N2V	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/classical_baseline_benchmark_v2	protocol/model/feature/run_seed aggregated by src.eval.aggregate_frozen_protocol_runs	identical	Classical now delegates to frozen implementation and differs only by subset output root.
DC	heuristic	classical_pre_refactor	src.network.run_network_heuristics	network	human;celegans;scerevisiae;fgraminearum	ad hoc build_epgat_legacy_dataset split; Fusarium new_label generated by prepare_phase2b_new_labels	outputs/classical_baseline_benchmark	species/method/network aggregated by src.eval.aggregate_classical_baselines	inconsistent_benchmark_breaking	Legacy 4-species scope, implicit Fusarium regime, lower-case network path.
DC	heuristic	frozen_protocol	src.train.run_frozen_protocol_model	NETWORK	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/frozen_protocol_benchmark_v2	protocol/model/NETWORK/deterministic aggregated by src.eval.aggregate_frozen_protocol_runs	authoritative	Uses frozen loader and frozen deterministic metrics schema.
DC	heuristic	classical_post_refactor	src.train.run_frozen_protocol_model	NETWORK	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/classical_baseline_benchmark_v2	protocol/model/NETWORK/deterministic aggregated by src.eval.aggregate_frozen_protocol_runs	identical	Classical now delegates to frozen implementation and differs only by subset output root.
CC	heuristic	classical_pre_refactor	src.network.run_network_heuristics	network	human;celegans;scerevisiae;fgraminearum	ad hoc build_epgat_legacy_dataset split; Fusarium new_label generated by prepare_phase2b_new_labels	outputs/classical_baseline_benchmark	species/method/network aggregated by src.eval.aggregate_classical_baselines	inconsistent_benchmark_breaking	Legacy 4-species scope, implicit Fusarium regime, lower-case network path.
CC	heuristic	frozen_protocol	src.train.run_frozen_protocol_model	NETWORK	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/frozen_protocol_benchmark_v2	protocol/model/NETWORK/deterministic aggregated by src.eval.aggregate_frozen_protocol_runs	authoritative	Uses frozen loader and frozen deterministic metrics schema.
CC	heuristic	classical_post_refactor	src.train.run_frozen_protocol_model	NETWORK	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/classical_baseline_benchmark_v2	protocol/model/NETWORK/deterministic aggregated by src.eval.aggregate_frozen_protocol_runs	identical	Classical now delegates to frozen implementation and differs only by subset output root.
GraphSAGE	graph	classical_pre_refactor	not invoked	NA	not covered	NA	NA	NA	not_applicable	Classical workflow did not include graph models.
GraphSAGE	graph	frozen_protocol	src.train.run_frozen_protocol_model	ORT_EXP_SUB	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/frozen_protocol_benchmark_v2	protocol/model/feature/run_seed aggregated by src.eval.aggregate_frozen_protocol_runs	authoritative	Frozen all-model workflow is authoritative for graph models.
GraphSAGE	graph	classical_post_refactor	intentionally excluded	NA	not covered	NA	NA	NA	intentionally_excluded	Classical workflow is now a frozen-contract classical-only subset.
GCN	graph	classical_pre_refactor	not invoked	NA	not covered	NA	NA	NA	not_applicable	Classical workflow did not include graph models.
GCN	graph	frozen_protocol	src.train.run_frozen_protocol_model	ORT_EXP_SUB	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/frozen_protocol_benchmark_v2	protocol/model/feature/run_seed aggregated by src.eval.aggregate_frozen_protocol_runs	authoritative	Frozen all-model workflow is authoritative for graph models.
GCN	graph	classical_post_refactor	intentionally excluded	NA	not covered	NA	NA	NA	intentionally_excluded	Classical workflow is now a frozen-contract classical-only subset.
GAT	graph	classical_pre_refactor	not invoked	NA	not covered	NA	NA	NA	not_applicable	Classical workflow did not include graph models.
GAT	graph	frozen_protocol	src.train.run_frozen_protocol_model	ORT_EXP_SUB	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/frozen_protocol_benchmark_v2	protocol/model/feature/run_seed aggregated by src.eval.aggregate_frozen_protocol_runs	authoritative	Frozen all-model workflow is authoritative for graph models.
GAT	graph	classical_post_refactor	intentionally excluded	NA	not covered	NA	NA	NA	intentionally_excluded	Classical workflow is now a frozen-contract classical-only subset.
GIN	graph	classical_pre_refactor	not invoked	NA	not covered	NA	NA	NA	not_applicable	Classical workflow did not include graph models.
GIN	graph	frozen_protocol	src.train.run_frozen_protocol_model	ORT_EXP_SUB	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/frozen_protocol_benchmark_v2	protocol/model/feature/run_seed aggregated by src.eval.aggregate_frozen_protocol_runs	authoritative	Frozen all-model workflow is authoritative for graph models.
GIN	graph	classical_post_refactor	intentionally excluded	NA	not covered	NA	NA	NA	intentionally_excluded	Classical workflow is now a frozen-contract classical-only subset.
